Time,Operation,CPU,RAM
2023-03-16 03:50:26.580149,book_start,77.1,59.9
2023-03-16 03:50:26.590768,book_security_start,75.0,59.9
2023-03-16 03:50:26.599100,book_security_end,100.0,59.9
2023-03-16 03:50:26.599473,movie_seats_venue_times_start,0.0,59.9
2023-03-16 03:50:26.637635,movie_seats_venue_times_end,80.0,59.9
2023-03-16 03:50:26.646566,book_end,100.0,59.9
2023-03-16 03:50:26.654489,book_start,80.0,59.9
2023-03-16 03:50:26.659238,book_security_start,100.0,59.9
2023-03-16 03:50:26.668772,book_security_end,100.0,59.9
2023-03-16 03:50:26.669218,movie_seats_venue_times_start,0.0,59.9
2023-03-16 03:50:26.702424,movie_seats_venue_times_end,75.0,60.0
2023-03-16 03:50:26.707533,book_end,100.0,60.0
2023-03-16 03:50:26.713944,book_start,100.0,60.0
2023-03-16 03:50:26.718083,book_security_start,100.0,60.0
2023-03-16 03:50:26.726979,book_security_end,50.0,60.0
2023-03-16 03:50:26.727586,movie_seats_venue_times_start,100.0,60.0
2023-03-16 03:50:26.766804,movie_seats_venue_times_end,78.6,60.0
2023-03-16 03:50:26.775605,book_end,50.0,59.9
2023-03-16 03:50:26.781833,book_start,50.0,59.9
2023-03-16 03:50:26.788398,book_security_start,75.0,59.9
2023-03-16 03:50:26.795846,book_security_end,100.0,59.9
2023-03-16 03:50:26.796257,movie_seats_venue_times_start,0.0,59.9
2023-03-16 03:50:26.821232,movie_seats_venue_times_end,66.7,60.0
2023-03-16 03:50:26.826610,book_end,50.0,60.0
2023-03-16 03:50:26.833598,book_start,50.0,60.0
2023-03-16 03:50:26.838001,book_security_start,50.0,60.0
2023-03-16 03:50:26.849482,book_security_end,33.3,60.0
2023-03-16 03:50:26.850070,movie_seats_venue_times_start,0.0,60.0
2023-03-16 03:50:26.877133,movie_seats_venue_times_end,63.6,60.2
2023-03-16 03:50:26.881852,book_end,100.0,60.2
2023-03-16 03:50:26.888744,book_start,66.7,60.2
2023-03-16 03:50:26.893766,book_security_start,100.0,60.2
2023-03-16 03:50:26.901554,book_security_end,33.3,60.2
2023-03-16 03:50:26.901948,movie_seats_venue_times_start,0.0,60.2
2023-03-16 03:50:26.929009,movie_seats_venue_times_end,72.7,60.2
2023-03-16 03:50:26.934783,book_end,60.0,60.2
2023-03-16 03:50:26.945623,book_start,33.3,60.2
2023-03-16 03:50:26.950942,book_security_start,66.7,60.2
2023-03-16 03:50:26.960389,book_security_end,100.0,60.2
2023-03-16 03:50:26.960977,movie_seats_venue_times_start,0.0,60.2
2023-03-16 03:50:26.994317,movie_seats_venue_times_end,69.2,60.2
2023-03-16 03:50:27.000433,book_end,100.0,60.2
2023-03-16 03:50:27.008490,book_start,100.0,60.2
2023-03-16 03:50:27.014343,book_security_start,50.0,60.2
2023-03-16 03:50:27.026430,book_security_end,40.0,60.2
2023-03-16 03:50:27.026995,movie_seats_venue_times_start,100.0,60.2
2023-03-16 03:50:27.060078,movie_seats_venue_times_end,66.7,60.2
2023-03-16 03:50:27.067086,book_end,66.7,60.2
