Time,Operation,CPU,RAM
2023-03-16 03:53:30.309738,notifications_start,72.8,59.2
2023-03-16 03:53:30.320558,notifications_security_start,40.0,59.1
2023-03-16 03:53:30.328105,notifications_security_end,50.0,59.2
2023-03-16 03:53:30.331186,notifications_end,0.0,59.2
2023-03-16 03:53:30.393473,notifications_start,58.3,59.1
2023-03-16 03:53:30.404531,notifications_security_start,75.0,59.2
2023-03-16 03:53:30.412450,notifications_security_end,100.0,59.2
2023-03-16 03:53:30.416207,notifications_end,50.0,59.2
2023-03-16 03:53:30.481679,notifications_start,63.6,59.1
2023-03-16 03:53:30.485742,notifications_security_start,100.0,59.2
2023-03-16 03:53:30.494383,notifications_security_end,50.0,59.2
2023-03-16 03:53:30.498582,notifications_end,50.0,59.2
2023-03-16 03:53:30.561169,notifications_start,65.2,59.1
2023-03-16 03:53:30.566789,notifications_security_start,80.0,59.2
2023-03-16 03:53:30.573316,notifications_security_end,100.0,59.2
2023-03-16 03:53:30.577154,notifications_end,100.0,59.2
2023-03-16 03:53:30.635778,notifications_start,71.4,59.1
2023-03-16 03:53:30.642202,notifications_security_start,100.0,59.2
2023-03-16 03:53:30.655197,notifications_security_end,60.0,59.2
2023-03-16 03:53:30.659820,notifications_end,100.0,59.2
2023-03-16 03:53:30.730867,notifications_start,69.2,59.2
2023-03-16 03:53:30.736501,notifications_security_start,66.7,59.2
2023-03-16 03:53:30.746405,notifications_security_end,100.0,59.2
2023-03-16 03:53:30.750823,notifications_end,66.7,59.2
2023-03-16 03:53:30.813860,notifications_start,63.6,59.1
2023-03-16 03:53:30.821874,notifications_security_start,50.0,59.1
2023-03-16 03:53:30.846918,notifications_security_end,66.7,59.2
2023-03-16 03:53:30.850783,notifications_end,100.0,59.2
2023-03-16 03:53:30.917294,notifications_start,76.9,59.2
2023-03-16 03:53:30.921621,notifications_security_start,50.0,59.2
2023-03-16 03:53:30.930343,notifications_security_end,50.0,59.2
2023-03-16 03:53:30.935752,notifications_end,75.0,59.2
2023-03-16 03:53:31.016009,notifications_start,72.4,59.2
2023-03-16 03:53:31.022041,notifications_security_start,50.0,59.2
2023-03-16 03:53:31.031835,notifications_security_end,60.0,59.3
2023-03-16 03:53:31.035458,notifications_end,0.0,59.3
2023-03-16 03:53:31.103845,notifications_start,69.2,59.3
2023-03-16 03:53:31.109159,notifications_security_start,66.7,59.2
2023-03-16 03:53:31.117409,notifications_security_end,100.0,59.3
2023-03-16 03:53:31.121053,notifications_end,66.7,59.2
2023-03-16 03:53:31.185832,notifications_start,69.6,59.2
2023-03-16 03:53:31.190924,notifications_security_start,100.0,59.3
2023-03-16 03:53:31.199961,notifications_security_end,66.7,59.3
2023-03-16 03:53:31.204368,notifications_end,100.0,59.3
2023-03-16 03:53:31.267050,notifications_start,66.7,59.3
2023-03-16 03:53:31.272977,notifications_security_start,66.7,59.3
2023-03-16 03:53:31.281433,notifications_security_end,100.0,59.3
2023-03-16 03:53:31.288046,notifications_end,50.0,59.2
2023-03-16 03:53:31.345260,notifications_start,54.2,59.5
2023-03-16 03:53:31.349512,notifications_security_start,0.0,59.6
2023-03-16 03:53:31.360074,notifications_security_end,80.0,59.6
2023-03-16 03:53:31.364430,notifications_end,100.0,59.6
2023-03-16 03:53:31.430801,notifications_start,83.3,59.6
2023-03-16 03:53:31.435363,notifications_security_start,50.0,59.6
2023-03-16 03:53:31.442268,notifications_security_end,0.0,59.6
2023-03-16 03:53:31.446751,notifications_end,100.0,59.6
2023-03-16 03:53:31.510707,notifications_start,65.2,59.6
2023-03-16 03:53:31.518101,notifications_security_start,66.7,59.6
2023-03-16 03:53:31.525169,notifications_security_end,33.3,59.6
2023-03-16 03:53:31.528993,notifications_end,0.0,59.6
2023-03-16 03:53:31.599256,notifications_start,77.4,59.6
2023-03-16 03:53:31.603691,notifications_security_start,0.0,59.6
2023-03-16 03:53:31.611320,notifications_security_end,66.7,59.6
2023-03-16 03:53:31.617480,notifications_end,100.0,59.6
2023-03-16 03:53:31.695969,notifications_start,77.4,59.7
2023-03-16 03:53:31.700268,notifications_security_start,100.0,59.7
2023-03-16 03:53:31.710573,notifications_security_end,66.7,59.7
2023-03-16 03:53:31.715208,notifications_end,66.7,59.7
2023-03-16 03:53:31.778439,notifications_start,63.6,59.7
2023-03-16 03:53:31.784527,notifications_security_start,100.0,59.7
2023-03-16 03:53:31.792386,notifications_security_end,75.0,59.7
2023-03-16 03:53:31.795849,notifications_end,100.0,59.7
2023-03-16 03:53:31.867528,notifications_start,63.0,59.7
2023-03-16 03:53:31.871970,notifications_security_start,100.0,59.7
2023-03-16 03:53:31.884814,notifications_security_end,60.0,59.7
2023-03-16 03:53:31.888351,notifications_end,100.0,59.7
2023-03-16 03:53:31.957526,notifications_start,71.4,59.7
2023-03-16 03:53:31.966890,notifications_security_start,80.0,59.7
2023-03-16 03:53:31.974697,notifications_security_end,100.0,59.7
2023-03-16 03:53:31.978049,notifications_end,0.0,59.7
2023-03-16 03:53:32.061791,notifications_start,75.0,59.7
2023-03-16 03:53:32.073063,notifications_security_start,66.7,59.7
2023-03-16 03:53:32.083028,notifications_security_end,60.0,59.7
2023-03-16 03:53:32.100691,notifications_end,71.4,59.7
2023-03-16 03:53:32.162420,notifications_start,63.6,59.7
2023-03-16 03:53:32.168795,notifications_security_start,66.7,59.7
2023-03-16 03:53:32.177914,notifications_security_end,100.0,59.7
2023-03-16 03:53:32.182924,notifications_end,100.0,59.7
2023-03-16 03:53:32.262323,notifications_start,76.7,59.7
2023-03-16 03:53:32.267381,notifications_security_start,100.0,59.7
2023-03-16 03:53:32.275947,notifications_security_end,66.7,59.7
2023-03-16 03:53:32.283339,notifications_end,66.7,59.7
2023-03-16 03:53:32.352322,notifications_start,76.9,59.7
2023-03-16 03:53:32.357371,notifications_security_start,50.0,59.7
2023-03-16 03:53:32.373781,notifications_security_end,66.7,59.7
2023-03-16 03:53:32.379614,notifications_end,66.7,59.7
2023-03-16 03:53:32.441694,notifications_start,68.0,59.7
2023-03-16 03:53:32.449404,notifications_security_start,50.0,59.7
2023-03-16 03:53:32.457458,notifications_security_end,75.0,59.7
2023-03-16 03:53:32.461637,notifications_end,100.0,59.7
2023-03-16 03:53:32.529301,notifications_start,71.4,59.7
2023-03-16 03:53:32.536729,notifications_security_start,100.0,59.7
2023-03-16 03:53:32.545480,notifications_security_end,100.0,59.7
2023-03-16 03:53:32.550195,notifications_end,66.7,59.7
2023-03-16 03:53:32.616559,notifications_start,78.3,59.7
2023-03-16 03:53:32.622341,notifications_security_start,66.7,59.7
2023-03-16 03:53:32.631232,notifications_security_end,66.7,59.7
2023-03-16 03:53:32.635709,notifications_end,0.0,59.7
2023-03-16 03:53:32.710828,notifications_start,70.4,59.7
2023-03-16 03:53:32.716783,notifications_security_start,75.0,59.7
2023-03-16 03:53:32.724532,notifications_security_end,66.7,59.7
2023-03-16 03:53:32.728306,notifications_end,100.0,59.7
2023-03-16 03:53:32.792188,notifications_start,82.6,59.7
2023-03-16 03:53:32.802603,notifications_security_start,66.7,59.7
2023-03-16 03:53:32.811597,notifications_security_end,66.7,59.7
2023-03-16 03:53:32.817637,notifications_end,50.0,59.7
2023-03-16 03:53:32.890100,notifications_start,70.0,59.6
2023-03-16 03:53:32.894807,notifications_security_start,50.0,59.7
2023-03-16 03:53:32.903067,notifications_security_end,50.0,59.7
2023-03-16 03:53:32.907928,notifications_end,0.0,59.7
2023-03-16 03:53:32.990133,notifications_start,64.3,59.7
2023-03-16 03:53:32.994729,notifications_security_start,100.0,59.7
2023-03-16 03:53:33.005662,notifications_security_end,60.0,59.7
2023-03-16 03:53:33.009791,notifications_end,50.0,59.7
2023-03-16 03:53:33.075965,notifications_start,80.8,59.7
2023-03-16 03:53:33.081943,notifications_security_start,33.3,59.7
2023-03-16 03:53:33.090342,notifications_security_end,66.7,59.7
2023-03-16 03:53:33.099668,notifications_end,50.0,59.8
2023-03-16 03:53:33.169648,notifications_start,66.7,59.7
2023-03-16 03:53:33.174770,notifications_security_start,100.0,59.8
2023-03-16 03:53:33.183904,notifications_security_end,80.0,59.8
2023-03-16 03:53:33.192210,notifications_end,33.3,59.7
2023-03-16 03:53:33.259476,notifications_start,75.0,59.7
2023-03-16 03:53:33.265042,notifications_security_start,100.0,59.7
2023-03-16 03:53:33.274370,notifications_security_end,33.3,59.7
2023-03-16 03:53:33.279295,notifications_end,100.0,59.8
2023-03-16 03:53:33.350905,notifications_start,80.8,59.8
2023-03-16 03:53:33.357257,notifications_security_start,0.0,59.8
2023-03-16 03:53:33.369152,notifications_security_end,80.0,59.8
2023-03-16 03:53:33.374130,notifications_end,0.0,59.8
2023-03-16 03:53:33.444126,notifications_start,90.0,59.8
2023-03-16 03:53:33.450646,notifications_security_start,100.0,59.8
2023-03-16 03:53:33.461752,notifications_security_end,100.0,59.8
2023-03-16 03:53:33.465696,notifications_end,100.0,59.8
2023-03-16 03:53:33.543752,notifications_start,87.1,59.8
2023-03-16 03:53:33.549239,notifications_security_start,50.0,59.8
2023-03-16 03:53:33.557341,notifications_security_end,75.0,59.8
2023-03-16 03:53:33.564188,notifications_end,50.0,59.9
2023-03-16 03:53:33.637113,notifications_start,82.8,59.7
2023-03-16 03:53:33.644352,notifications_security_start,50.0,59.7
2023-03-16 03:53:33.651823,notifications_security_end,100.0,59.8
2023-03-16 03:53:33.656938,notifications_end,0.0,59.7
2023-03-16 03:53:33.733736,notifications_start,64.3,59.5
2023-03-16 03:53:33.738628,notifications_security_start,100.0,59.6
2023-03-16 03:53:33.746749,notifications_security_end,75.0,59.6
2023-03-16 03:53:33.751078,notifications_end,0.0,59.6
2023-03-16 03:53:33.822968,notifications_start,78.6,59.5
2023-03-16 03:53:33.828064,notifications_security_start,100.0,59.5
2023-03-16 03:53:33.842156,notifications_security_end,50.0,59.5
2023-03-16 03:53:33.846519,notifications_end,50.0,59.5
2023-03-16 03:53:33.918544,notifications_start,69.2,59.5
2023-03-16 03:53:33.924087,notifications_security_start,100.0,59.5
2023-03-16 03:53:33.932474,notifications_security_end,66.7,59.5
2023-03-16 03:53:33.938665,notifications_end,66.7,59.5
2023-03-16 03:53:34.002679,notifications_start,76.9,59.5
2023-03-16 03:53:34.007277,notifications_security_start,0.0,59.5
2023-03-16 03:53:34.016908,notifications_security_end,50.0,59.5
2023-03-16 03:53:34.020255,notifications_end,50.0,59.5
2023-03-16 03:53:34.104416,notifications_start,60.0,59.5
2023-03-16 03:53:34.109741,notifications_security_start,50.0,59.5
2023-03-16 03:53:34.118739,notifications_security_end,75.0,59.6
2023-03-16 03:53:34.122762,notifications_end,50.0,59.6
2023-03-16 03:53:34.192062,notifications_start,65.4,59.5
2023-03-16 03:53:34.198560,notifications_security_start,100.0,59.6
2023-03-16 03:53:34.208123,notifications_security_end,75.0,59.6
2023-03-16 03:53:34.212472,notifications_end,100.0,59.6
2023-03-16 03:53:34.285081,notifications_start,74.2,59.6
2023-03-16 03:53:34.292774,notifications_security_start,33.3,59.6
2023-03-16 03:53:34.306381,notifications_security_end,40.0,59.6
2023-03-16 03:53:34.310392,notifications_end,50.0,59.6
2023-03-16 03:53:34.374893,notifications_start,65.4,59.3
2023-03-16 03:53:34.379798,notifications_security_start,100.0,59.4
2023-03-16 03:53:34.388022,notifications_security_end,100.0,59.4
2023-03-16 03:53:34.392211,notifications_end,50.0,59.4
2023-03-16 03:53:34.459394,notifications_start,64.0,59.3
2023-03-16 03:53:34.465001,notifications_security_start,0.0,59.3
2023-03-16 03:53:34.473650,notifications_security_end,75.0,59.3
2023-03-16 03:53:34.477335,notifications_end,100.0,59.3
2023-03-16 03:53:34.544826,notifications_start,66.7,59.3
2023-03-16 03:53:34.553839,notifications_security_start,66.7,59.3
2023-03-16 03:53:34.562379,notifications_security_end,100.0,59.4
2023-03-16 03:53:34.569450,notifications_end,66.7,59.4
2023-03-16 03:53:34.641453,notifications_start,66.7,59.4
2023-03-16 03:53:34.646534,notifications_security_start,50.0,59.4
2023-03-16 03:53:34.657080,notifications_security_end,100.0,59.4
2023-03-16 03:53:34.666362,notifications_end,50.0,59.4
2023-03-16 03:53:34.746372,notifications_start,66.7,59.3
2023-03-16 03:53:34.751625,notifications_security_start,100.0,59.4
2023-03-16 03:53:34.760203,notifications_security_end,66.7,59.4
2023-03-16 03:53:34.766595,notifications_end,66.7,59.4
2023-03-16 03:53:34.842497,notifications_start,64.3,59.4
2023-03-16 03:53:34.855141,notifications_security_start,80.0,59.4
2023-03-16 03:53:34.863324,notifications_security_end,50.0,59.4
2023-03-16 03:53:34.868010,notifications_end,0.0,59.4
2023-03-16 03:53:34.948844,notifications_start,68.8,59.3
2023-03-16 03:53:34.954117,notifications_security_start,0.0,59.3
2023-03-16 03:53:34.963117,notifications_security_end,50.0,59.3
2023-03-16 03:53:34.968018,notifications_end,100.0,59.3
2023-03-16 03:53:35.040512,notifications_start,59.3,59.3
2023-03-16 03:53:35.045637,notifications_security_start,100.0,59.3
2023-03-16 03:53:35.054335,notifications_security_end,100.0,59.4
2023-03-16 03:53:35.059032,notifications_end,66.7,59.4
