Time,Operation,CPU,RAM
2023-03-16 03:53:30.246100,subtotal_start,72.8,59.1
2023-03-16 03:53:30.252789,subtotal_security_start,33.3,59.1
2023-03-16 03:53:30.263733,subtotal_security_end,50.0,59.2
2023-03-16 03:53:30.269448,subtotal_end,100.0,59.2
2023-03-16 03:53:30.276394,pay_start,75.0,59.2
2023-03-16 03:53:30.281034,pay_security_start,100.0,59.2
2023-03-16 03:53:30.288873,pay_security_end,50.0,59.2
2023-03-16 03:53:30.300577,pay_notify_start,100.0,59.2
2023-03-16 03:53:30.334384,pay_notify_end,50.0,59.2
2023-03-16 03:53:30.335205,pay_end,100.0,59.2
2023-03-16 03:53:30.341607,subtotal_start,66.7,59.1
2023-03-16 03:53:30.345782,subtotal_security_start,0.0,59.1
2023-03-16 03:53:30.352428,subtotal_security_end,33.3,59.1
2023-03-16 03:53:30.358324,subtotal_end,0.0,59.1
2023-03-16 03:53:30.367227,pay_start,100.0,59.1
2023-03-16 03:53:30.372100,pay_security_start,66.7,59.2
2023-03-16 03:53:30.380646,pay_security_end,100.0,59.1
2023-03-16 03:53:30.388048,pay_notify_start,50.0,59.1
2023-03-16 03:53:30.418817,pay_notify_end,63.6,59.2
2023-03-16 03:53:30.419847,pay_end,0.0,59.2
2023-03-16 03:53:30.427311,subtotal_start,60.0,59.1
2023-03-16 03:53:30.431962,subtotal_security_start,0.0,59.1
2023-03-16 03:53:30.438976,subtotal_security_end,33.3,59.1
2023-03-16 03:53:30.445948,subtotal_end,50.0,59.1
2023-03-16 03:53:30.452817,pay_start,100.0,59.1
2023-03-16 03:53:30.457498,pay_security_start,100.0,59.1
2023-03-16 03:53:30.466058,pay_security_end,0.0,59.1
2023-03-16 03:53:30.473892,pay_notify_start,60.0,59.1
2023-03-16 03:53:30.501362,pay_notify_end,77.8,59.1
2023-03-16 03:53:30.502372,pay_end,0.0,59.1
2023-03-16 03:53:30.509152,subtotal_start,66.7,59.1
2023-03-16 03:53:30.513262,subtotal_security_start,0.0,59.1
2023-03-16 03:53:30.520042,subtotal_security_end,50.0,59.1
2023-03-16 03:53:30.525023,subtotal_end,0.0,59.1
2023-03-16 03:53:30.532643,pay_start,100.0,59.1
2023-03-16 03:53:30.537592,pay_security_start,100.0,59.1
2023-03-16 03:53:30.546022,pay_security_end,66.7,59.2
2023-03-16 03:53:30.554833,pay_notify_start,60.0,59.1
2023-03-16 03:53:30.579526,pay_notify_end,88.9,59.2
2023-03-16 03:53:30.580244,pay_end,0.0,59.2
2023-03-16 03:53:30.587655,subtotal_start,100.0,59.1
2023-03-16 03:53:30.591971,subtotal_security_start,0.0,59.1
2023-03-16 03:53:30.599194,subtotal_security_end,66.7,59.1
2023-03-16 03:53:30.604260,subtotal_end,100.0,59.1
2023-03-16 03:53:30.610674,pay_start,75.0,59.1
2023-03-16 03:53:30.615795,pay_security_start,0.0,59.1
2023-03-16 03:53:30.624211,pay_security_end,75.0,59.1
2023-03-16 03:53:30.631355,pay_notify_start,100.0,59.1
2023-03-16 03:53:30.662677,pay_notify_end,66.7,59.2
2023-03-16 03:53:30.663323,pay_end,0.0,59.2
2023-03-16 03:53:30.672592,subtotal_start,50.0,59.1
2023-03-16 03:53:30.678383,subtotal_security_start,0.0,59.1
2023-03-16 03:53:30.687457,subtotal_security_end,100.0,59.1
2023-03-16 03:53:30.693353,subtotal_end,50.0,59.2
2023-03-16 03:53:30.699526,pay_start,100.0,59.1
2023-03-16 03:53:30.705193,pay_security_start,100.0,59.2
2023-03-16 03:53:30.712973,pay_security_end,66.7,59.1
2023-03-16 03:53:30.724743,pay_notify_start,60.0,59.1
2023-03-16 03:53:30.753795,pay_notify_end,80.0,59.2
2023-03-16 03:53:30.754876,pay_end,100.0,59.2
2023-03-16 03:53:30.763397,subtotal_start,66.7,59.1
2023-03-16 03:53:30.768432,subtotal_security_start,50.0,59.1
2023-03-16 03:53:30.774741,subtotal_security_end,0.0,59.1
2023-03-16 03:53:30.779975,subtotal_end,50.0,59.2
2023-03-16 03:53:30.787489,pay_start,100.0,59.2
2023-03-16 03:53:30.792091,pay_security_start,0.0,59.2
