Time,Operation,CPU,RAM
2023-03-16 13:20:54.848495,movies_start,13.7,57.4
2023-03-16 13:20:54.865093,movies_security_start,66.7,57.4
2023-03-16 13:20:54.877514,movies_security_end,75.0,57.5
2023-03-16 13:20:54.880953,movies_end,66.7,57.4
2023-03-16 13:20:54.889738,movies_start,100.0,57.4
2023-03-16 13:20:54.894157,movies_security_start,100.0,57.5
2023-03-16 13:20:54.905306,movies_security_end,75.0,57.5
2023-03-16 13:20:54.909714,movies_end,66.7,57.5
2023-03-16 13:20:54.917231,movies_start,100.0,57.5
2023-03-16 13:20:54.921383,movies_security_start,100.0,57.5
2023-03-16 13:20:54.932308,movies_security_end,75.0,57.5
2023-03-16 13:20:54.936870,movies_end,100.0,57.5
2023-03-16 13:20:54.954424,movies_start,83.3,57.5
2023-03-16 13:20:54.960257,movies_security_start,50.0,57.5
2023-03-16 13:20:54.969519,movies_security_end,60.0,57.6
2023-03-16 13:20:54.972611,movies_end,0.0,57.6
2023-03-16 13:20:54.979325,movies_start,66.7,57.5
2023-03-16 13:20:54.983079,movies_security_start,100.0,57.6
2023-03-16 13:20:54.991616,movies_security_end,100.0,57.6
2023-03-16 13:20:54.997222,movies_end,100.0,57.6
2023-03-16 13:20:55.005223,movies_start,100.0,57.6
2023-03-16 13:20:55.008575,movies_security_start,0.0,57.6
2023-03-16 13:20:55.017845,movies_security_end,75.0,57.6
2023-03-16 13:20:55.024156,movies_end,50.0,57.6
2023-03-16 13:20:55.031907,movies_start,100.0,57.6
2023-03-16 13:20:55.038312,movies_security_start,100.0,57.7
2023-03-16 13:20:55.066504,movies_security_end,75.0,57.7
2023-03-16 13:20:55.070145,movies_end,100.0,57.7
2023-03-16 13:20:55.077537,movies_start,66.7,57.7
2023-03-16 13:20:55.081751,movies_security_start,50.0,57.7
2023-03-16 13:20:55.089739,movies_security_end,66.7,57.7
2023-03-16 13:20:55.094408,movies_end,100.0,57.7
2023-03-16 13:20:55.102562,movies_start,100.0,57.7
2023-03-16 13:20:55.107067,movies_security_start,100.0,57.7
2023-03-16 13:20:55.116367,movies_security_end,33.3,57.7
2023-03-16 13:20:55.121502,movies_end,75.0,57.6
2023-03-16 13:20:55.130361,movies_start,66.7,57.6
2023-03-16 13:20:55.134958,movies_security_start,100.0,57.6
2023-03-16 13:20:55.143894,movies_security_end,75.0,57.6
2023-03-16 13:20:55.148849,movies_end,100.0,57.6
2023-03-16 13:20:55.156356,movies_start,66.7,57.6
2023-03-16 13:20:55.160749,movies_security_start,100.0,57.7
2023-03-16 13:20:55.170085,movies_security_end,75.0,57.7
2023-03-16 13:20:55.174969,movies_end,100.0,57.6
2023-03-16 13:20:55.183075,movies_start,100.0,57.6
2023-03-16 13:20:55.187728,movies_security_start,100.0,57.6
2023-03-16 13:20:55.199442,movies_security_end,66.7,57.6
2023-03-16 13:20:55.203043,movies_end,50.0,57.6
2023-03-16 13:20:55.210152,movies_start,100.0,57.6
2023-03-16 13:20:55.214456,movies_security_start,100.0,57.6
2023-03-16 13:20:55.223570,movies_security_end,50.0,57.6
2023-03-16 13:20:55.226839,movies_end,100.0,57.6
2023-03-16 13:20:55.233682,movies_start,66.7,57.6
2023-03-16 13:20:55.237809,movies_security_start,100.0,57.6
