Time,Operation,CPU,RAM
2022-12-29 06:37:36.564132,subtotal_start,68.5,59.8
2022-12-29 06:37:36.569571,subtotal_security_start,0.0,59.8
2022-12-29 06:37:36.587337,subtotal_security_end,71.4,59.9
2022-12-29 06:37:36.592986,subtotal_end,0.0,59.9
2022-12-29 06:37:36.599782,pay_start,66.7,59.8
2022-12-29 06:37:36.604021,pay_security_start,50.0,59.8
2022-12-29 06:37:36.617564,pay_security_end,80.0,59.9
2022-12-29 06:37:36.628920,pay_notify_start,75.0,59.9
2022-12-29 06:37:36.675419,pay_notify_end,94.7,59.9
2022-12-29 06:37:36.676033,pay_end,0.0,59.9
2022-12-29 06:37:36.683053,subtotal_start,100.0,59.8
2022-12-29 06:37:36.686738,subtotal_security_start,100.0,59.8
2022-12-29 06:37:36.701047,subtotal_security_end,75.0,59.9
2022-12-29 06:37:36.705381,subtotal_end,0.0,59.9
2022-12-29 06:37:36.711438,pay_start,66.7,59.9
2022-12-29 06:37:36.715373,pay_security_start,0.0,60.0
2022-12-29 06:37:36.737478,pay_security_end,37.5,60.0
2022-12-29 06:37:36.746693,pay_notify_start,50.0,60.0
2022-12-29 06:37:36.776370,pay_notify_end,54.5,60.0
2022-12-29 06:37:36.777125,pay_end,0.0,60.0
2022-12-29 06:37:36.783574,subtotal_start,0.0,59.9
2022-12-29 06:37:36.787491,subtotal_security_start,50.0,59.9
2022-12-29 06:37:36.801170,subtotal_security_end,80.0,60.0
2022-12-29 06:37:36.806911,subtotal_end,50.0,59.9
2022-12-29 06:37:36.813150,pay_start,50.0,59.9
2022-12-29 06:37:36.817407,pay_security_start,0.0,59.9
2022-12-29 06:37:36.831503,pay_security_end,66.7,59.9
2022-12-29 06:37:36.838925,pay_notify_start,66.7,59.9
2022-12-29 06:37:36.866455,pay_notify_end,40.0,60.0
2022-12-29 06:37:36.867977,pay_end,0.0,59.9
2022-12-29 06:37:36.874225,subtotal_start,50.0,59.9
2022-12-29 06:37:36.878071,subtotal_security_start,0.0,59.9
2022-12-29 06:37:36.894157,subtotal_security_end,50.0,59.9
2022-12-29 06:37:36.898801,subtotal_end,0.0,59.9
2022-12-29 06:37:36.908655,pay_start,66.7,59.9
2022-12-29 06:37:36.913087,pay_security_start,50.0,59.9
2022-12-29 06:37:36.925647,pay_security_end,40.0,60.0
2022-12-29 06:37:36.932501,pay_notify_start,66.7,60.0
2022-12-29 06:37:36.958193,pay_notify_end,62.5,59.9
2022-12-29 06:37:36.958829,pay_end,66.7,59.9
2022-12-29 06:37:36.964937,subtotal_start,0.0,59.9
2022-12-29 06:37:36.968782,subtotal_security_start,50.0,59.9
2022-12-29 06:37:36.983887,subtotal_security_end,50.0,60.0
2022-12-29 06:37:36.988422,subtotal_end,50.0,60.0
2022-12-29 06:37:36.994845,pay_start,66.7,60.0
2022-12-29 06:37:36.999333,pay_security_start,100.0,60.0
2022-12-29 06:37:37.018491,pay_security_end,62.5,60.0
2022-12-29 06:37:37.025648,pay_notify_start,0.0,60.0
2022-12-29 06:37:37.052819,pay_notify_end,50.0,60.0
2022-12-29 06:37:37.053654,pay_end,0.0,60.0
2022-12-29 06:37:37.061084,subtotal_start,50.0,59.9
2022-12-29 06:37:37.064671,subtotal_security_start,50.0,59.9
2022-12-29 06:37:37.080362,subtotal_security_end,20.0,59.9
2022-12-29 06:37:37.085610,subtotal_end,50.0,59.9
2022-12-29 06:37:37.091449,pay_start,100.0,59.9
2022-12-29 06:37:37.095804,pay_security_start,66.7,59.9
2022-12-29 06:37:37.113295,pay_security_end,60.0,60.0
2022-12-29 06:37:37.120304,pay_notify_start,75.0,60.0
2022-12-29 06:37:37.148872,pay_notify_end,40.0,60.0
2022-12-29 06:37:37.149627,pay_end,0.0,60.0
2022-12-29 06:37:37.156907,subtotal_start,66.7,59.9
2022-12-29 06:37:37.160866,subtotal_security_start,0.0,60.0
2022-12-29 06:37:37.172620,subtotal_security_end,25.0,60.0
2022-12-29 06:37:37.177077,subtotal_end,100.0,60.0
2022-12-29 06:37:37.182978,pay_start,100.0,60.0
2022-12-29 06:37:37.188204,pay_security_start,50.0,60.0
2022-12-29 06:37:37.201404,pay_security_end,60.0,60.0
2022-12-29 06:37:37.208438,pay_notify_start,50.0,60.0
2022-12-29 06:37:37.244294,pay_notify_end,61.5,60.0
2022-12-29 06:37:37.244987,pay_end,0.0,60.0
2022-12-29 06:37:37.252491,subtotal_start,66.7,60.0
2022-12-29 06:37:37.256763,subtotal_security_start,66.7,60.0
2022-12-29 06:37:37.270858,subtotal_security_end,80.0,60.0
2022-12-29 06:37:37.275421,subtotal_end,0.0,60.0
2022-12-29 06:37:37.281011,pay_start,50.0,60.0
2022-12-29 06:37:37.285287,pay_security_start,100.0,60.0
2022-12-29 06:37:37.301034,pay_security_end,50.0,60.0
2022-12-29 06:37:37.307262,pay_notify_start,100.0,60.0
2022-12-29 06:37:37.334213,pay_notify_end,45.5,60.0
2022-12-29 06:37:37.334864,pay_end,0.0,60.0
2022-12-29 06:37:37.340813,subtotal_start,0.0,60.0
2022-12-29 06:37:37.344621,subtotal_security_start,50.0,60.0
2022-12-29 06:37:37.356515,subtotal_security_end,25.0,60.0
