Time,Operation,CPU,RAM
2022-12-29 18:17:57.890455,test_start,44.8,60.2
2022-12-29 18:17:57.891182,movies_flow_start,0.0,60.2
2022-12-29 18:17:57.937830,movies_flow_end,68.8,60.3
2022-12-29 18:17:57.938294,movies_flow_start,0.0,60.3
2022-12-29 18:17:57.966150,movies_flow_end,75.0,60.3
2022-12-29 18:17:57.966774,movies_flow_start,0.0,60.3
2022-12-29 18:17:57.993531,movies_flow_end,90.9,60.3
2022-12-29 18:17:57.994062,movies_flow_start,0.0,60.3
2022-12-29 18:17:58.020325,movies_flow_end,77.8,60.3
2022-12-29 18:17:58.020600,movies_flow_start,0.0,60.3
2022-12-29 18:17:58.045982,movies_flow_end,62.5,60.3
2022-12-29 18:17:58.046220,movies_flow_start,0.0,60.3
2022-12-29 18:17:58.071334,movies_flow_end,90.0,60.4
2022-12-29 18:17:58.071577,movies_flow_start,0.0,60.4
2022-12-29 18:17:58.103757,movies_flow_end,80.0,60.4
2022-12-29 18:17:58.103999,movies_flow_start,100.0,60.4
2022-12-29 18:17:58.130033,movies_flow_end,66.7,60.4
2022-12-29 18:17:58.130786,movies_flow_start,0.0,60.4
2022-12-29 18:17:58.157691,movies_flow_end,80.0,60.4
2022-12-29 18:17:58.158023,movies_flow_start,0.0,60.4
2022-12-29 18:17:58.182089,movies_flow_end,80.0,60.4
2022-12-29 18:17:58.182406,movies_flow_start,0.0,60.4
2022-12-29 18:17:58.210395,movies_flow_end,70.0,60.4
2022-12-29 18:17:58.210754,movies_flow_start,0.0,60.4
2022-12-29 18:17:58.241979,movies_flow_end,84.6,60.4
2022-12-29 18:17:58.242299,movies_flow_start,0.0,60.4
2022-12-29 18:17:58.268995,movies_flow_end,77.8,60.4
2022-12-29 18:17:58.269260,movies_flow_start,0.0,60.4
2022-12-29 18:17:58.297477,movies_flow_end,72.7,60.4
2022-12-29 18:17:58.297769,movies_flow_start,0.0,60.4
2022-12-29 18:17:58.326052,movies_flow_end,72.7,60.4
2022-12-29 18:17:58.326301,movies_flow_start,0.0,60.4
2022-12-29 18:17:58.351115,movies_flow_end,100.0,60.4
2022-12-29 18:17:58.351363,movies_flow_start,0.0,60.4
2022-12-29 18:17:58.385952,movies_flow_end,78.6,60.5
2022-12-29 18:17:58.386217,movies_flow_start,0.0,60.5
2022-12-29 18:17:58.410834,movies_flow_end,90.0,60.5
2022-12-29 18:17:58.411079,movies_flow_start,0.0,60.5
2022-12-29 18:17:58.437428,movies_flow_end,66.7,60.5
2022-12-29 18:17:58.437674,movies_flow_start,0.0,60.5
2022-12-29 18:17:58.463731,movies_flow_end,60.0,60.4
2022-12-29 18:17:58.464005,movies_flow_start,100.0,60.4
2022-12-29 18:17:58.488635,movies_flow_end,80.0,60.5
