Time,Operation,CPU,RAM
2022-12-30 00:21:35.618714,notifications_start,66.6,62.2
2022-12-30 00:21:35.624028,notifications_security_start,66.7,62.2
2022-12-30 00:21:35.642501,notifications_security_end,50.0,62.2
2022-12-30 00:21:35.646128,notifications_end,0.0,62.2
2022-12-30 00:21:35.713860,notifications_start,54.2,62.2
2022-12-30 00:21:35.720706,notifications_security_start,50.0,62.2
2022-12-30 00:21:35.734697,notifications_security_end,50.0,62.2
2022-12-30 00:21:35.738622,notifications_end,0.0,62.2
2022-12-30 00:21:35.814619,notifications_start,51.7,62.3
2022-12-30 00:21:35.818689,notifications_security_start,50.0,62.4
2022-12-30 00:21:35.830738,notifications_security_end,50.0,62.5
2022-12-30 00:21:35.835090,notifications_end,50.0,62.5
2022-12-30 00:21:35.902046,notifications_start,62.5,62.5
2022-12-30 00:21:35.910409,notifications_security_start,33.3,62.6
2022-12-30 00:21:35.927955,notifications_security_end,66.7,62.6
2022-12-30 00:21:35.931331,notifications_end,0.0,62.6
2022-12-30 00:21:36.004386,notifications_start,60.0,62.5
2022-12-30 00:21:36.008261,notifications_security_start,100.0,62.6
2022-12-30 00:21:36.024331,notifications_security_end,60.0,62.6
2022-12-30 00:21:36.027629,notifications_end,0.0,62.6
2022-12-30 00:21:36.096878,notifications_start,63.0,62.6
2022-12-30 00:21:36.100733,notifications_security_start,0.0,62.6
2022-12-30 00:21:36.115472,notifications_security_end,80.0,62.6
2022-12-30 00:21:36.119311,notifications_end,50.0,62.5
2022-12-30 00:21:36.189085,notifications_start,74.1,62.6
2022-12-30 00:21:36.195054,notifications_security_start,50.0,62.6
2022-12-30 00:21:36.217413,notifications_security_end,50.0,62.6
2022-12-30 00:21:36.226744,notifications_end,50.0,62.6
2022-12-30 00:21:36.302746,notifications_start,71.4,62.6
2022-12-30 00:21:36.309954,notifications_security_start,75.0,62.6
2022-12-30 00:21:36.325410,notifications_security_end,80.0,62.6
2022-12-30 00:21:36.328948,notifications_end,100.0,62.6
2022-12-30 00:21:36.402170,notifications_start,67.9,62.6
2022-12-30 00:21:36.406933,notifications_security_start,0.0,62.6
2022-12-30 00:21:36.421537,notifications_security_end,75.0,62.6
2022-12-30 00:21:36.425176,notifications_end,0.0,62.6
2022-12-30 00:21:36.497750,notifications_start,71.4,62.6
2022-12-30 00:21:36.503368,notifications_security_start,50.0,62.6
2022-12-30 00:21:36.516671,notifications_security_end,60.0,62.6
2022-12-30 00:21:36.521198,notifications_end,33.3,62.6
2022-12-30 00:21:36.601341,notifications_start,63.3,62.5
2022-12-30 00:21:36.605304,notifications_security_start,100.0,62.6
2022-12-30 00:21:36.618242,notifications_security_end,50.0,62.6
2022-12-30 00:21:36.621725,notifications_end,50.0,62.6
2022-12-30 00:21:36.685275,notifications_start,64.0,62.6
2022-12-30 00:21:36.690107,notifications_security_start,100.0,62.6
2022-12-30 00:21:36.702174,notifications_security_end,60.0,62.6
2022-12-30 00:21:36.705169,notifications_end,50.0,62.6
2022-12-30 00:21:36.774372,notifications_start,60.0,62.6
2022-12-30 00:21:36.778241,notifications_security_start,100.0,62.6
2022-12-30 00:21:36.793242,notifications_security_end,85.7,62.6
2022-12-30 00:21:36.797107,notifications_end,0.0,62.6
2022-12-30 00:21:36.871694,notifications_start,66.7,62.6
2022-12-30 00:21:36.877241,notifications_security_start,66.7,62.6
2022-12-30 00:21:36.892534,notifications_security_end,50.0,62.6
2022-12-30 00:21:36.895603,notifications_end,0.0,62.6
2022-12-30 00:21:36.974535,notifications_start,61.5,62.6
2022-12-30 00:21:36.979457,notifications_security_start,66.7,62.6
2022-12-30 00:21:36.993212,notifications_security_end,60.0,62.6
2022-12-30 00:21:36.996742,notifications_end,50.0,62.6
2022-12-30 00:21:37.069388,notifications_start,56.5,62.6
2022-12-30 00:21:37.073635,notifications_security_start,50.0,62.6
2022-12-30 00:21:37.085048,notifications_security_end,60.0,62.7
2022-12-30 00:21:37.088450,notifications_end,100.0,62.6
2022-12-30 00:21:37.155595,notifications_start,61.5,62.6
2022-12-30 00:21:37.159856,notifications_security_start,100.0,62.6
2022-12-30 00:21:37.172323,notifications_security_end,83.3,62.7
2022-12-30 00:21:37.175275,notifications_end,0.0,62.7
2022-12-30 00:21:37.253070,notifications_start,62.1,62.6
2022-12-30 00:21:37.261750,notifications_security_start,66.7,62.6
2022-12-30 00:21:37.277315,notifications_security_end,100.0,62.7
2022-12-30 00:21:37.281225,notifications_end,50.0,62.7
2022-12-30 00:21:37.355494,notifications_start,59.3,62.6
2022-12-30 00:21:37.362845,notifications_security_start,66.7,62.6
2022-12-30 00:21:37.383544,notifications_security_end,66.7,62.6
2022-12-30 00:21:37.387337,notifications_end,50.0,62.6
2022-12-30 00:21:37.467152,notifications_start,60.7,62.7
2022-12-30 00:21:37.471302,notifications_security_start,66.7,62.7
2022-12-30 00:21:37.485376,notifications_security_end,83.3,62.7
2022-12-30 00:21:37.488500,notifications_end,50.0,62.7
2022-12-30 00:21:37.568584,notifications_start,83.3,62.7
2022-12-30 00:21:37.573306,notifications_security_start,100.0,62.7
2022-12-30 00:21:37.587756,notifications_security_end,100.0,62.7
2022-12-30 00:21:37.591306,notifications_end,100.0,62.7
2022-12-30 00:21:37.669645,notifications_start,84.4,62.6
