Time,Operation,CPU,RAM
2022-12-29 23:10:47.983981,book_start,34.3,59.6
2022-12-29 23:10:47.990692,book_security_start,100.0,59.6
2022-12-29 23:10:48.007515,book_security_end,40.0,59.6
2022-12-29 23:10:48.007969,movie_seats_venue_times_start,0.0,59.6
2022-12-29 23:10:48.048675,movie_seats_venue_times_end,66.7,59.6
2022-12-29 23:10:48.057863,book_end,33.3,59.6
2022-12-29 23:10:48.064855,book_start,50.0,59.6
2022-12-29 23:10:48.069147,book_security_start,33.3,59.6
2022-12-29 23:10:48.081984,book_security_end,60.0,59.6
2022-12-29 23:10:48.082380,movie_seats_venue_times_start,0.0,59.6
2022-12-29 23:10:48.114719,movie_seats_venue_times_end,66.7,59.6
2022-12-29 23:10:48.119711,book_end,50.0,59.6
2022-12-29 23:10:48.126879,book_start,33.3,59.6
2022-12-29 23:10:48.130968,book_security_start,0.0,59.6
2022-12-29 23:10:48.143656,book_security_end,25.0,59.6
2022-12-29 23:10:48.144185,movie_seats_venue_times_start,0.0,59.6
2022-12-29 23:10:48.176158,movie_seats_venue_times_end,66.7,59.6
2022-12-29 23:10:48.181829,book_end,0.0,59.6
2022-12-29 23:10:48.188166,book_start,33.3,59.6
2022-12-29 23:10:48.192469,book_security_start,50.0,59.6
2022-12-29 23:10:48.205085,book_security_end,100.0,59.7
2022-12-29 23:10:48.205601,movie_seats_venue_times_start,0.0,59.7
2022-12-29 23:10:48.236243,movie_seats_venue_times_end,36.4,59.6
2022-12-29 23:10:48.241716,book_end,66.7,59.6
2022-12-29 23:10:48.247767,book_start,0.0,59.6
2022-12-29 23:10:48.251981,book_security_start,50.0,59.6
2022-12-29 23:10:48.267273,book_security_end,60.0,59.7
2022-12-29 23:10:48.267721,movie_seats_venue_times_start,0.0,59.7
2022-12-29 23:10:48.304382,movie_seats_venue_times_end,38.5,59.6
2022-12-29 23:10:48.309178,book_end,0.0,59.6
2022-12-29 23:10:48.316129,book_start,66.7,59.6
2022-12-29 23:10:48.321379,book_security_start,33.3,59.6
2022-12-29 23:10:48.340064,book_security_end,85.7,59.6
2022-12-29 23:10:48.340562,movie_seats_venue_times_start,0.0,59.6
2022-12-29 23:10:48.376889,movie_seats_venue_times_end,35.7,59.7
2022-12-29 23:10:48.382059,book_end,50.0,59.6
2022-12-29 23:10:48.389595,book_start,33.3,59.6
2022-12-29 23:10:48.394490,book_security_start,0.0,59.6
2022-12-29 23:10:48.412485,book_security_end,66.7,59.7
2022-12-29 23:10:48.412966,movie_seats_venue_times_start,0.0,59.6
2022-12-29 23:10:48.444616,movie_seats_venue_times_end,63.6,59.7
2022-12-29 23:10:48.451420,book_end,66.7,59.6
2022-12-29 23:10:48.461655,book_start,66.7,59.6
2022-12-29 23:10:48.467345,book_security_start,50.0,59.6
2022-12-29 23:10:48.486337,book_security_end,85.7,59.7
2022-12-29 23:10:48.486714,movie_seats_venue_times_start,0.0,59.7
2022-12-29 23:10:48.528144,movie_seats_venue_times_end,64.7,59.7
2022-12-29 23:10:48.534349,book_end,0.0,59.7
2022-12-29 23:10:48.542576,book_start,75.0,59.6
2022-12-29 23:10:48.546559,book_security_start,50.0,59.6
