Time,Operation,CPU,RAM
2022-12-30 17:18:31.086816,subtotal_start,67.0,58.4
2022-12-30 17:18:31.092984,subtotal_security_start,0.0,58.4
2022-12-30 17:18:31.099449,subtotal_security_end,66.7,58.4
2022-12-30 17:18:31.103952,subtotal_end,100.0,58.4
2022-12-30 17:18:31.110979,pay_start,100.0,58.4
2022-12-30 17:18:31.115928,pay_security_start,100.0,58.4
2022-12-30 17:18:31.123131,pay_security_end,66.7,58.4
2022-12-30 17:18:31.132252,pay_notify_start,66.7,58.5
2022-12-30 17:18:31.165904,pay_notify_end,76.9,58.5
2022-12-30 17:18:31.168719,pay_end,100.0,58.5
2022-12-30 17:18:31.174795,subtotal_start,33.3,58.5
2022-12-30 17:18:31.178568,subtotal_security_start,0.0,58.5
2022-12-30 17:18:31.185666,subtotal_security_end,0.0,58.5
2022-12-30 17:18:31.191755,subtotal_end,100.0,58.5
2022-12-30 17:18:31.197536,pay_start,100.0,58.5
2022-12-30 17:18:31.201555,pay_security_start,100.0,58.5
2022-12-30 17:18:31.208226,pay_security_end,66.7,58.5
2022-12-30 17:18:31.220611,pay_notify_start,75.0,58.5
2022-12-30 17:18:31.249284,pay_notify_end,63.6,58.5
2022-12-30 17:18:31.249951,pay_end,0.0,58.5
2022-12-30 17:18:31.255482,subtotal_start,0.0,58.5
2022-12-30 17:18:31.259388,subtotal_security_start,50.0,58.5
2022-12-30 17:18:31.268215,subtotal_security_end,50.0,58.5
2022-12-30 17:18:31.277970,subtotal_end,66.7,58.5
2022-12-30 17:18:31.283561,pay_start,100.0,58.5
2022-12-30 17:18:31.287565,pay_security_start,0.0,58.5
2022-12-30 17:18:31.294651,pay_security_end,75.0,58.5
2022-12-30 17:18:31.301914,pay_notify_start,0.0,58.5
2022-12-30 17:18:31.341798,pay_notify_end,66.7,58.5
2022-12-30 17:18:31.342554,pay_end,0.0,58.5
2022-12-30 17:18:31.348852,subtotal_start,33.3,58.5
2022-12-30 17:18:31.352718,subtotal_security_start,50.0,58.5
2022-12-30 17:18:31.358927,subtotal_security_end,50.0,58.5
2022-12-30 17:18:31.365768,subtotal_end,33.3,58.5
2022-12-30 17:18:31.376660,pay_start,100.0,58.5
2022-12-30 17:18:31.380739,pay_security_start,100.0,58.5
2022-12-30 17:18:31.388140,pay_security_end,75.0,58.5
2022-12-30 17:18:31.395805,pay_notify_start,0.0,58.5
2022-12-30 17:18:31.434994,pay_notify_end,66.7,58.5
2022-12-30 17:18:31.435992,pay_end,100.0,58.5
2022-12-30 17:18:31.442790,subtotal_start,50.0,58.5
2022-12-30 17:18:31.446893,subtotal_security_start,0.0,58.5
2022-12-30 17:18:31.461094,subtotal_security_end,66.7,58.6
2022-12-30 17:18:31.467684,subtotal_end,100.0,58.5
2022-12-30 17:18:31.473804,pay_start,66.7,58.5
2022-12-30 17:18:31.478231,pay_security_start,0.0,58.5
2022-12-30 17:18:31.487663,pay_security_end,66.7,58.6
2022-12-30 17:18:31.497737,pay_notify_start,80.0,58.6
2022-12-30 17:18:31.523893,pay_notify_end,37.5,58.6
2022-12-30 17:18:31.524546,pay_end,0.0,58.6
2022-12-30 17:18:31.530343,subtotal_start,66.7,58.5
2022-12-30 17:18:31.534232,subtotal_security_start,0.0,58.5
2022-12-30 17:18:31.540818,subtotal_security_end,33.3,58.6
2022-12-30 17:18:31.545763,subtotal_end,0.0,58.6
2022-12-30 17:18:31.555040,pay_start,50.0,58.5
2022-12-30 17:18:31.559224,pay_security_start,100.0,58.5
2022-12-30 17:18:31.567925,pay_security_end,75.0,58.5
2022-12-30 17:18:31.574907,pay_notify_start,66.7,58.5
2022-12-30 17:18:31.605629,pay_notify_end,58.3,58.6
2022-12-30 17:18:31.606331,pay_end,0.0,58.6
2022-12-30 17:18:31.612806,subtotal_start,100.0,58.5
2022-12-30 17:18:31.621618,subtotal_security_start,66.7,58.5
2022-12-30 17:18:31.628820,subtotal_security_end,66.7,58.6
2022-12-30 17:18:31.634601,subtotal_end,100.0,58.6
2022-12-30 17:18:31.642290,pay_start,66.7,58.5
2022-12-30 17:18:31.647572,pay_security_start,50.0,58.5
2022-12-30 17:18:31.654152,pay_security_end,66.7,58.6
2022-12-30 17:18:31.659954,pay_notify_start,0.0,58.5
2022-12-30 17:18:31.689610,pay_notify_end,63.6,58.5
2022-12-30 17:18:31.690332,pay_end,0.0,58.5
2022-12-30 17:18:31.698191,subtotal_start,75.0,58.5
2022-12-30 17:18:31.704923,subtotal_security_start,66.7,58.5
2022-12-30 17:18:31.712675,subtotal_security_end,66.7,58.6
2022-12-30 17:18:31.718193,subtotal_end,100.0,58.6
2022-12-30 17:18:31.724096,pay_start,66.7,58.5
2022-12-30 17:18:31.730458,pay_security_start,50.0,58.6
2022-12-30 17:18:31.739283,pay_security_end,66.7,58.6
2022-12-30 17:18:31.745570,pay_notify_start,100.0,58.6
2022-12-30 17:18:31.771794,pay_notify_end,45.5,58.6
2022-12-30 17:18:31.772504,pay_end,0.0,58.6
2022-12-30 17:18:31.779855,subtotal_start,0.0,58.6
2022-12-30 17:18:31.784351,subtotal_security_start,50.0,58.6
2022-12-30 17:18:31.791887,subtotal_security_end,66.7,58.6
2022-12-30 17:18:31.796980,subtotal_end,100.0,58.6
2022-12-30 17:18:31.802652,pay_start,0.0,58.6
2022-12-30 17:18:31.806861,pay_security_start,50.0,58.6
2022-12-30 17:18:31.818544,pay_security_end,50.0,58.6
2022-12-30 17:18:31.836117,pay_notify_start,50.0,58.6
2022-12-30 17:18:31.864681,pay_notify_end,72.7,58.6
2022-12-30 17:18:31.865547,pay_end,0.0,58.6
2022-12-30 17:18:31.873911,subtotal_start,50.0,58.6
2022-12-30 17:18:31.878958,subtotal_security_start,0.0,58.6
2022-12-30 17:18:31.890408,subtotal_security_end,75.0,58.6
2022-12-30 17:18:31.896156,subtotal_end,100.0,58.6
2022-12-30 17:18:31.903807,pay_start,66.7,58.6
2022-12-30 17:18:31.909491,pay_security_start,66.7,58.6
2022-12-30 17:18:31.921734,pay_security_end,80.0,58.6
2022-12-30 17:18:31.934276,pay_notify_start,100.0,58.6
2022-12-30 17:18:31.971604,pay_notify_end,50.0,58.6
2022-12-30 17:18:31.972433,pay_end,100.0,58.6
2022-12-30 17:18:31.978791,subtotal_start,0.0,58.6
2022-12-30 17:18:31.983351,subtotal_security_start,100.0,58.6
2022-12-30 17:18:31.990409,subtotal_security_end,100.0,58.6
2022-12-30 17:18:31.996364,subtotal_end,75.0,58.6
2022-12-30 17:18:32.002982,pay_start,0.0,58.6
2022-12-30 17:18:32.007100,pay_security_start,50.0,58.6
2022-12-30 17:18:32.014227,pay_security_end,50.0,58.6
2022-12-30 17:18:32.021248,pay_notify_start,100.0,58.6
2022-12-30 17:18:32.054497,pay_notify_end,58.3,58.6
2022-12-30 17:18:32.055148,pay_end,0.0,58.6
2022-12-30 17:18:32.062175,subtotal_start,33.3,58.6
2022-12-30 17:18:32.066378,subtotal_security_start,50.0,58.6
2022-12-30 17:18:32.075510,subtotal_security_end,100.0,58.6
2022-12-30 17:18:32.080450,subtotal_end,0.0,58.6
2022-12-30 17:18:32.086096,pay_start,50.0,58.6
2022-12-30 17:18:32.090596,pay_security_start,50.0,58.6
2022-12-30 17:18:32.097850,pay_security_end,0.0,58.6
2022-12-30 17:18:32.104494,pay_notify_start,100.0,58.6
2022-12-30 17:18:32.127622,pay_notify_end,70.0,58.6
