Time,Operation,CPU,RAM
2023-01-04 00:51:44.792200,venues_start,12.6,57.9
2023-01-04 00:51:44.797712,venues_security_start,100.0,58.0
2023-01-04 00:51:44.808691,venues_security_end,66.7,58.0
2023-01-04 00:51:44.811910,venues_end,0.0,58.0
2023-01-04 00:51:44.819357,movies_cinema_start,100.0,57.9
2023-01-04 00:51:44.823913,movies_cinema_security_start,100.0,58.0
2023-01-04 00:51:44.831093,movies_cinema_security_end,66.7,58.0
2023-01-04 00:51:44.835534,movies_cinema_end,100.0,58.0
2023-01-04 00:51:44.843483,movie_times_cinema_start,100.0,58.0
2023-01-04 00:51:44.848183,movie_times_cinema_security_start,0.0,57.9
2023-01-04 00:51:44.864069,movie_times_cinema_security_end,71.4,58.0
2023-01-04 00:51:44.870152,movie_times_cinema_end,100.0,58.0
2023-01-04 00:51:44.875933,movie_seats_venue_times_start,50.0,58.0
2023-01-04 00:51:44.881056,movie_seats_venue_times_security_start,100.0,58.0
2023-01-04 00:51:44.888543,movie_seats_venue_times_security_end,100.0,58.0
2023-01-04 00:51:44.897683,movie_seats_venue_times_end,100.0,58.0
2023-01-04 00:51:44.905478,venues_start,75.0,58.0
2023-01-04 00:51:44.911578,venues_security_start,50.0,58.0
2023-01-04 00:51:44.919540,venues_security_end,33.3,58.0
2023-01-04 00:51:44.923185,venues_end,100.0,58.0
2023-01-04 00:51:44.932149,movies_cinema_start,100.0,58.0
2023-01-04 00:51:44.936994,movies_cinema_security_start,100.0,58.0
2023-01-04 00:51:44.944163,movies_cinema_security_end,100.0,58.0
2023-01-04 00:51:44.949138,movies_cinema_end,75.0,58.0
2023-01-04 00:51:44.962027,movie_times_cinema_start,50.0,57.8
2023-01-04 00:51:44.969139,movie_times_cinema_security_start,75.0,57.9
2023-01-04 00:51:44.976303,movie_times_cinema_security_end,50.0,57.9
2023-01-04 00:51:44.981985,movie_times_cinema_end,100.0,57.9
2023-01-04 00:51:44.988212,movie_seats_venue_times_start,50.0,57.9
2023-01-04 00:51:44.992966,movie_seats_venue_times_security_start,100.0,57.9
2023-01-04 00:51:45.000555,movie_seats_venue_times_security_end,100.0,57.9
2023-01-04 00:51:45.006705,movie_seats_venue_times_end,75.0,57.9
2023-01-04 00:51:45.013838,venues_start,50.0,57.8
2023-01-04 00:51:45.017401,venues_security_start,50.0,57.8
2023-01-04 00:51:45.027017,venues_security_end,100.0,57.9
2023-01-04 00:51:45.030114,venues_end,75.0,57.9
2023-01-04 00:51:45.036612,movies_cinema_start,100.0,57.8
2023-01-04 00:51:45.041019,movies_cinema_security_start,100.0,57.9
2023-01-04 00:51:45.047867,movies_cinema_security_end,50.0,57.9
2023-01-04 00:51:45.052477,movies_cinema_end,100.0,57.8
2023-01-04 00:51:45.059519,movie_times_cinema_start,100.0,57.8
2023-01-04 00:51:45.063583,movie_times_cinema_security_start,0.0,57.8
2023-01-04 00:51:45.076632,movie_times_cinema_security_end,60.0,57.9
2023-01-04 00:51:45.081773,movie_times_cinema_end,100.0,57.9
2023-01-04 00:51:45.090827,movie_seats_venue_times_start,100.0,57.9
2023-01-04 00:51:45.094689,movie_seats_venue_times_security_start,100.0,57.9
2023-01-04 00:51:45.103168,movie_seats_venue_times_security_end,50.0,57.9
2023-01-04 00:51:45.109403,movie_seats_venue_times_end,75.0,57.9
2023-01-04 00:51:45.116875,venues_start,66.7,57.9
2023-01-04 00:51:45.120425,venues_security_start,0.0,57.9
2023-01-04 00:51:45.128995,venues_security_end,66.7,57.9
2023-01-04 00:51:45.132246,venues_end,0.0,57.9
2023-01-04 00:51:45.139152,movies_cinema_start,66.7,57.9
2023-01-04 00:51:45.144892,movies_cinema_security_start,100.0,57.9
2023-01-04 00:51:45.151294,movies_cinema_security_end,50.0,57.9
2023-01-04 00:51:45.156462,movies_cinema_end,100.0,57.9
2023-01-04 00:51:45.162582,movie_times_cinema_start,100.0,57.9
2023-01-04 00:51:45.166490,movie_times_cinema_security_start,100.0,57.9
2023-01-04 00:51:45.173904,movie_times_cinema_security_end,66.7,57.9
2023-01-04 00:51:45.179130,movie_times_cinema_end,66.7,57.9
2023-01-04 00:51:45.186308,movie_seats_venue_times_start,100.0,57.9
2023-01-04 00:51:45.190788,movie_seats_venue_times_security_start,100.0,57.9
2023-01-04 00:51:45.197622,movie_seats_venue_times_security_end,75.0,57.9
2023-01-04 00:51:45.204348,movie_seats_venue_times_end,100.0,57.9
2023-01-04 00:51:45.210557,venues_start,100.0,57.9
2023-01-04 00:51:45.214448,venues_security_start,50.0,57.9
2023-01-04 00:51:45.223543,venues_security_end,66.7,57.9
2023-01-04 00:51:45.228561,venues_end,50.0,57.9
2023-01-04 00:51:45.237708,movies_cinema_start,100.0,57.9
2023-01-04 00:51:45.242148,movies_cinema_security_start,100.0,57.9
2023-01-04 00:51:45.250246,movies_cinema_security_end,50.0,57.9
2023-01-04 00:51:45.255276,movies_cinema_end,50.0,57.9
2023-01-04 00:51:45.261880,movie_times_cinema_start,66.7,57.9
2023-01-04 00:51:45.266510,movie_times_cinema_security_start,100.0,57.9
2023-01-04 00:51:45.274111,movie_times_cinema_security_end,100.0,57.9
2023-01-04 00:51:45.279595,movie_times_cinema_end,100.0,57.9
2023-01-04 00:51:45.286909,movie_seats_venue_times_start,66.7,57.9
2023-01-04 00:51:45.292121,movie_seats_venue_times_security_start,50.0,57.8
2023-01-04 00:51:45.300470,movie_seats_venue_times_security_end,66.7,57.9
