Time,Operation,CPU,RAM
2023-01-03 18:51:14.043481,test_start,26.6,56.5
2023-01-03 18:51:14.044433,movies_flow_start,0.0,56.5
2023-01-03 18:51:14.079801,movies_flow_end,85.7,56.5
2023-01-03 18:51:14.080153,movies_flow_start,0.0,56.5
2023-01-03 18:51:14.107389,movies_flow_end,90.0,56.5
2023-01-03 18:51:14.107725,movies_flow_start,0.0,56.5
2023-01-03 18:51:14.142024,movies_flow_end,71.4,56.6
2023-01-03 18:51:14.142383,movies_flow_start,0.0,56.6
2023-01-03 18:51:14.171422,movies_flow_end,69.2,56.6
2023-01-03 18:51:14.171811,movies_flow_start,0.0,56.6
2023-01-03 18:51:14.194875,movies_flow_end,90.0,56.6
2023-01-03 18:51:14.195338,movies_flow_start,0.0,56.6
2023-01-03 18:51:14.223225,movies_flow_end,80.0,56.6
2023-01-03 18:51:14.223558,movies_flow_start,0.0,56.6
2023-01-03 18:51:14.250688,movies_flow_end,90.0,56.6
2023-01-03 18:51:14.250975,movies_flow_start,0.0,56.6
2023-01-03 18:51:14.281482,movies_flow_end,90.0,56.6
2023-01-03 18:51:14.281943,movies_flow_start,100.0,56.6
2023-01-03 18:51:14.309066,movies_flow_end,80.0,56.7
2023-01-03 18:51:14.309408,movies_flow_start,0.0,56.7
2023-01-03 18:51:14.334307,movies_flow_end,90.0,56.6
2023-01-03 18:51:14.334626,movies_flow_start,0.0,56.6
2023-01-03 18:51:14.366860,movies_flow_end,66.7,56.6
2023-01-03 18:51:14.367308,movies_flow_start,0.0,56.6
2023-01-03 18:51:14.393711,movies_flow_end,81.8,56.7
2023-01-03 18:51:14.394055,movies_flow_start,0.0,56.7
2023-01-03 18:51:14.422296,movies_flow_end,90.9,56.7
2023-01-03 18:51:14.422651,movies_flow_start,0.0,56.7
2023-01-03 18:51:14.445562,movies_flow_end,77.8,56.6
2023-01-03 18:51:14.445842,movies_flow_start,0.0,56.6
2023-01-03 18:51:14.477699,movies_flow_end,83.3,56.7
2023-01-03 18:51:14.478070,movies_flow_start,0.0,56.7
2023-01-03 18:51:14.503364,movies_flow_end,88.9,56.7
2023-01-03 18:51:14.503703,movies_flow_start,0.0,56.7
2023-01-03 18:51:14.530343,movies_flow_end,77.8,56.7
2023-01-03 18:51:14.530724,movies_flow_start,0.0,56.7
2023-01-03 18:51:14.555840,movies_flow_end,90.0,56.7
2023-01-03 18:51:14.556103,movies_flow_start,0.0,56.7
2023-01-03 18:51:14.582480,movies_flow_end,72.7,56.5
2023-01-03 18:51:14.582758,movies_flow_start,0.0,56.5
2023-01-03 18:51:14.607359,movies_flow_end,75.0,56.5
2023-01-03 18:51:14.607630,movies_flow_start,0.0,56.5
2023-01-03 18:51:14.631806,movies_flow_end,87.5,56.5
2023-01-03 18:51:14.632049,movies_flow_start,0.0,56.5
2023-01-03 18:51:14.659316,movies_flow_end,66.7,56.5
2023-01-03 18:51:14.659580,movies_flow_start,0.0,56.5
2023-01-03 18:51:14.685028,movies_flow_end,77.8,56.5
2023-01-03 18:51:14.685337,movies_flow_start,0.0,56.5
2023-01-03 18:51:14.709178,movies_flow_end,85.7,56.5
2023-01-03 18:51:14.709484,movies_flow_start,0.0,56.5
2023-01-03 18:51:14.733507,movies_flow_end,90.0,56.5
2023-01-03 18:51:14.733821,movies_flow_start,0.0,56.5
2023-01-03 18:51:14.758930,movies_flow_end,81.8,56.5
2023-01-03 18:51:14.759258,movies_flow_start,0.0,56.5
2023-01-03 18:51:14.784347,movies_flow_end,87.5,56.5
2023-01-03 18:51:14.784828,movies_flow_start,100.0,56.5
2023-01-03 18:51:14.808633,movies_flow_end,75.0,56.6
2023-01-03 18:51:14.809343,movies_flow_start,100.0,56.5
2023-01-03 18:51:14.836800,movies_flow_end,72.7,56.5
2023-01-03 18:51:14.837362,movies_flow_start,0.0,56.5
2023-01-03 18:51:14.866251,movies_flow_end,81.8,56.5
2023-01-03 18:51:14.866710,movies_flow_start,0.0,56.5
2023-01-03 18:51:14.894831,movies_flow_end,77.8,56.5
2023-01-03 18:51:14.895155,movies_flow_start,0.0,56.5
2023-01-03 18:51:14.920605,movies_flow_end,83.3,56.6
2023-01-03 18:51:14.920891,movies_flow_start,0.0,56.6
2023-01-03 18:51:14.946681,movies_flow_end,88.9,56.6
2023-01-03 18:51:14.947001,movies_flow_start,0.0,56.6
2023-01-03 18:51:14.972263,movies_flow_end,71.4,56.5
2023-01-03 18:51:14.972632,movies_flow_start,100.0,56.5
2023-01-03 18:51:15.001468,movies_flow_end,83.3,56.6
2023-01-03 18:51:15.001844,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.024894,movies_flow_end,80.0,56.6
2023-01-03 18:51:15.025223,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.047558,movies_flow_end,85.7,56.6
2023-01-03 18:51:15.047890,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.070065,movies_flow_end,77.8,56.6
2023-01-03 18:51:15.070340,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.097926,movies_flow_end,90.9,56.6
2023-01-03 18:51:15.098196,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.126942,movies_flow_end,90.9,56.6
2023-01-03 18:51:15.127310,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.150794,movies_flow_end,87.5,56.6
2023-01-03 18:51:15.151041,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.178533,movies_flow_end,81.8,56.6
2023-01-03 18:51:15.181888,movies_flow_start,100.0,56.6
2023-01-03 18:51:15.210930,movies_flow_end,100.0,56.7
2023-01-03 18:51:15.212289,movies_flow_start,0.0,56.7
2023-01-03 18:51:15.271924,movies_flow_end,96.2,56.7
2023-01-03 18:51:15.272273,movies_flow_start,0.0,56.7
2023-01-03 18:51:15.319519,movies_flow_end,94.4,56.6
2023-01-03 18:51:15.319782,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.356381,movies_flow_end,84.6,56.6
2023-01-03 18:51:15.362505,movies_flow_start,100.0,56.6
2023-01-03 18:51:15.385139,movies_flow_end,87.5,56.7
2023-01-03 18:51:15.385459,movies_flow_start,0.0,56.7
2023-01-03 18:51:15.407104,movies_flow_end,87.5,56.6
2023-01-03 18:51:15.407442,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.440994,movies_flow_end,66.7,56.6
2023-01-03 18:51:15.441446,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.466316,movies_flow_end,100.0,56.6
2023-01-03 18:51:15.466596,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.500309,movies_flow_end,80.0,56.7
2023-01-03 18:51:15.504556,movies_flow_start,100.0,56.7
2023-01-03 18:51:15.537369,movies_flow_end,78.6,56.7
2023-01-03 18:51:15.537839,movies_flow_start,0.0,56.7
2023-01-03 18:51:15.560453,movies_flow_end,100.0,56.7
2023-01-03 18:51:15.560921,movies_flow_start,100.0,56.7
2023-01-03 18:51:15.586625,movies_flow_end,70.0,56.6
2023-01-03 18:51:15.587183,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.613894,movies_flow_end,80.0,56.6
2023-01-03 18:51:15.614419,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.641999,movies_flow_end,83.3,56.6
2023-01-03 18:51:15.642516,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.667644,movies_flow_end,70.0,56.6
2023-01-03 18:51:15.668207,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.703878,movies_flow_end,69.2,56.6
2023-01-03 18:51:15.704454,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.729489,movies_flow_end,90.0,56.6
2023-01-03 18:51:15.729741,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.751379,movies_flow_end,77.8,56.6
2023-01-03 18:51:15.751692,movies_flow_start,0.0,56.6
2023-01-03 18:51:15.779298,movies_flow_end,81.8,56.7
2023-01-03 18:51:15.779584,movies_flow_start,0.0,56.7
2023-01-03 18:51:15.805854,movies_flow_end,90.0,56.7
2023-01-03 18:51:15.806436,movies_flow_start,0.0,56.7
2023-01-03 18:51:15.836228,movies_flow_end,72.7,56.8
2023-01-03 18:51:15.836830,movies_flow_start,100.0,56.8
2023-01-03 18:51:15.864595,movies_flow_end,77.8,56.9
2023-01-03 18:51:15.865167,movies_flow_start,100.0,56.9
2023-01-03 18:51:15.889080,movies_flow_end,62.5,56.9
2023-01-03 18:51:15.889505,movies_flow_start,0.0,56.9
2023-01-03 18:51:15.913578,movies_flow_end,100.0,56.9
2023-01-03 18:51:15.913979,movies_flow_start,0.0,56.9
2023-01-03 18:51:15.940747,movies_flow_end,75.0,57.0
2023-01-03 18:51:15.941008,movies_flow_start,0.0,57.0
2023-01-03 18:51:15.965091,movies_flow_end,87.5,57.0
2023-01-03 18:51:15.965441,movies_flow_start,0.0,57.0
2023-01-03 18:51:15.987360,movies_flow_end,85.7,57.1
2023-01-03 18:51:15.987868,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.012792,movies_flow_end,81.8,57.0
2023-01-03 18:51:16.013079,movies_flow_start,0.0,57.0
2023-01-03 18:51:16.040054,movies_flow_end,90.0,57.0
2023-01-03 18:51:16.040387,movies_flow_start,0.0,57.0
2023-01-03 18:51:16.064470,movies_flow_end,80.0,57.1
2023-01-03 18:51:16.064823,movies_flow_start,100.0,57.1
2023-01-03 18:51:16.091013,movies_flow_end,80.0,57.1
2023-01-03 18:51:16.091364,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.115924,movies_flow_end,100.0,57.1
2023-01-03 18:51:16.116289,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.141104,movies_flow_end,83.3,57.1
2023-01-03 18:51:16.141499,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.168515,movies_flow_end,81.8,57.1
2023-01-03 18:51:16.169233,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.194679,movies_flow_end,77.8,57.1
2023-01-03 18:51:16.194964,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.217589,movies_flow_end,75.0,57.1
2023-01-03 18:51:16.217969,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.243365,movies_flow_end,70.0,57.1
2023-01-03 18:51:16.244159,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.276299,movies_flow_end,91.7,57.1
2023-01-03 18:51:16.276704,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.305722,movies_flow_end,72.7,57.1
2023-01-03 18:51:16.306064,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.349795,movies_flow_end,87.5,57.1
2023-01-03 18:51:16.350157,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.378971,movies_flow_end,90.9,57.1
2023-01-03 18:51:16.379349,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.406401,movies_flow_end,90.0,57.1
2023-01-03 18:51:16.406743,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.432793,movies_flow_end,70.0,57.1
2023-01-03 18:51:16.433084,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.510930,movies_flow_end,90.0,57.1
2023-01-03 18:51:16.511327,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.548447,movies_flow_end,86.7,57.2
2023-01-03 18:51:16.549001,movies_flow_start,100.0,57.2
2023-01-03 18:51:16.604381,movies_flow_end,93.8,57.2
2023-01-03 18:51:16.604864,movies_flow_start,100.0,57.2
2023-01-03 18:51:16.642433,movies_flow_end,92.9,57.1
2023-01-03 18:51:16.643180,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.692867,movies_flow_end,90.5,57.2
2023-01-03 18:51:16.693229,movies_flow_start,0.0,57.2
2023-01-03 18:51:16.733499,movies_flow_end,78.6,57.2
2023-01-03 18:51:16.733870,movies_flow_start,0.0,57.2
2023-01-03 18:51:16.769201,movies_flow_end,80.0,57.2
2023-01-03 18:51:16.769706,movies_flow_start,0.0,57.2
2023-01-03 18:51:16.801263,movies_flow_end,83.3,57.2
2023-01-03 18:51:16.801653,movies_flow_start,0.0,57.2
2023-01-03 18:51:16.841393,movies_flow_end,86.7,57.2
2023-01-03 18:51:16.841848,movies_flow_start,0.0,57.2
2023-01-03 18:51:16.883004,movies_flow_end,93.8,57.1
2023-01-03 18:51:16.883373,movies_flow_start,0.0,57.1
2023-01-03 18:51:16.917330,movies_flow_end,92.3,56.8
2023-01-03 18:51:16.918542,movies_flow_start,0.0,56.8
2023-01-03 18:51:16.946703,movies_flow_end,90.0,56.7
2023-01-03 18:51:16.947087,movies_flow_start,0.0,56.7
2023-01-03 18:51:16.975956,movies_flow_end,91.7,56.8
2023-01-03 18:51:16.976466,movies_flow_start,0.0,56.8
2023-01-03 18:51:17.002414,movies_flow_end,90.0,56.8
2023-01-03 18:51:17.002774,movies_flow_start,0.0,56.8
2023-01-03 18:51:17.033307,movies_flow_end,83.3,56.7
2023-01-03 18:51:17.033758,movies_flow_start,0.0,56.7
2023-01-03 18:51:17.068794,movies_flow_end,86.7,56.7
2023-01-03 18:51:17.069197,movies_flow_start,0.0,56.7
2023-01-03 18:51:17.114042,movies_flow_end,93.3,56.8
2023-01-03 18:51:17.114414,movies_flow_start,0.0,56.8
2023-01-03 18:51:17.145356,movies_flow_end,84.6,56.8
2023-01-03 18:51:17.145789,movies_flow_start,0.0,56.8
2023-01-03 18:51:17.184216,movies_flow_end,83.3,56.8
2023-01-03 18:51:17.184563,movies_flow_start,100.0,56.8
2023-01-03 18:51:17.217042,movies_flow_end,92.3,56.8
2023-01-03 18:51:17.217359,movies_flow_start,0.0,56.8
2023-01-03 18:51:17.246753,movies_flow_end,90.9,56.8
2023-01-03 18:51:17.247165,movies_flow_start,0.0,56.8
2023-01-03 18:51:17.276303,movies_flow_end,88.9,56.8
2023-01-03 18:51:17.276720,movies_flow_start,0.0,56.8
2023-01-03 18:51:17.312226,movies_flow_end,93.3,56.8
2023-01-03 18:51:17.312587,movies_flow_start,0.0,56.8
2023-01-03 18:51:17.366385,movies_flow_end,86.4,56.9
2023-01-03 18:51:17.366801,movies_flow_start,0.0,56.8
2023-01-03 18:51:17.400979,movies_flow_end,86.7,56.9
2023-01-03 18:51:17.401395,movies_flow_start,0.0,56.9
2023-01-03 18:51:17.435219,movies_flow_end,80.0,56.9
2023-01-03 18:51:17.435965,movies_flow_start,0.0,56.9
2023-01-03 18:51:17.473779,movies_flow_end,86.7,56.9
2023-01-03 18:51:17.474317,movies_flow_start,0.0,56.9
2023-01-03 18:51:17.522859,movies_flow_end,89.5,57.0
2023-01-03 18:51:17.523279,movies_flow_start,0.0,57.0
2023-01-03 18:51:17.555773,movies_flow_end,90.9,57.1
2023-01-03 18:51:17.556381,movies_flow_start,0.0,57.1
2023-01-03 18:51:17.592275,movies_flow_end,93.3,57.1
