Time,Operation,CPU,RAM
2023-01-04 00:54:36.480913,notifications_start,37.6,59.2
2023-01-04 00:54:36.488167,notifications_security_start,100.0,59.2
2023-01-04 00:54:36.497162,notifications_security_end,80.0,59.2
2023-01-04 00:54:36.506445,notifications_end,33.3,59.1
2023-01-04 00:54:36.576593,notifications_start,69.2,59.1
2023-01-04 00:54:36.584332,notifications_security_start,66.7,59.2
2023-01-04 00:54:36.591794,notifications_security_end,75.0,59.2
2023-01-04 00:54:36.595074,notifications_end,100.0,59.2
2023-01-04 00:54:36.660579,notifications_start,66.7,59.1
2023-01-04 00:54:36.664937,notifications_security_start,66.7,59.1
2023-01-04 00:54:36.671798,notifications_security_end,50.0,59.2
2023-01-04 00:54:36.675134,notifications_end,100.0,59.2
2023-01-04 00:54:36.743640,notifications_start,56.0,59.4
2023-01-04 00:54:36.748165,notifications_security_start,66.7,59.4
2023-01-04 00:54:36.757077,notifications_security_end,50.0,59.4
2023-01-04 00:54:36.760864,notifications_end,50.0,59.4
2023-01-04 00:54:36.825140,notifications_start,62.5,59.4
2023-01-04 00:54:36.831657,notifications_security_start,0.0,59.4
2023-01-04 00:54:36.838689,notifications_security_end,75.0,59.4
2023-01-04 00:54:36.847430,notifications_end,0.0,59.4
2023-01-04 00:54:36.914150,notifications_start,66.7,59.4
2023-01-04 00:54:36.919570,notifications_security_start,0.0,59.4
2023-01-04 00:54:36.929680,notifications_security_end,75.0,59.4
2023-01-04 00:54:36.934260,notifications_end,0.0,59.4
2023-01-04 00:54:36.995149,notifications_start,69.6,59.4
2023-01-04 00:54:37.000576,notifications_security_start,66.7,59.4
2023-01-04 00:54:37.013208,notifications_security_end,40.0,59.4
2023-01-04 00:54:37.017447,notifications_end,0.0,59.4
2023-01-04 00:54:37.076651,notifications_start,59.1,59.4
2023-01-04 00:54:37.081753,notifications_security_start,66.7,59.4
2023-01-04 00:54:37.088670,notifications_security_end,100.0,59.4
2023-01-04 00:54:37.092166,notifications_end,0.0,59.4
2023-01-04 00:54:37.151091,notifications_start,69.6,59.4
2023-01-04 00:54:37.155391,notifications_security_start,100.0,59.5
2023-01-04 00:54:37.164790,notifications_security_end,100.0,59.5
2023-01-04 00:54:37.167987,notifications_end,0.0,59.5
2023-01-04 00:54:37.221786,notifications_start,65.0,59.4
2023-01-04 00:54:37.226292,notifications_security_start,0.0,59.4
2023-01-04 00:54:37.235042,notifications_security_end,75.0,59.4
2023-01-04 00:54:37.241006,notifications_end,100.0,59.4
2023-01-04 00:54:37.316438,notifications_start,92.6,59.5
2023-01-04 00:54:37.323915,notifications_security_start,66.7,59.5
2023-01-04 00:54:37.341164,notifications_security_end,85.7,59.5
2023-01-04 00:54:37.344942,notifications_end,100.0,59.5
2023-01-04 00:54:37.418653,notifications_start,82.8,59.4
2023-01-04 00:54:37.425297,notifications_security_start,66.7,59.4
2023-01-04 00:54:37.432864,notifications_security_end,100.0,59.4
2023-01-04 00:54:37.437153,notifications_end,100.0,59.4
2023-01-04 00:54:37.498107,notifications_start,61.9,59.3
2023-01-04 00:54:37.502805,notifications_security_start,0.0,59.3
2023-01-04 00:54:37.509760,notifications_security_end,50.0,59.3
2023-01-04 00:54:37.513660,notifications_end,0.0,59.3
2023-01-04 00:54:37.585664,notifications_start,80.8,59.2
2023-01-04 00:54:37.591827,notifications_security_start,66.7,59.2
2023-01-04 00:54:37.600456,notifications_security_end,75.0,59.2
2023-01-04 00:54:37.603996,notifications_end,33.3,59.2
2023-01-04 00:54:37.663886,notifications_start,60.9,59.2
2023-01-04 00:54:37.672199,notifications_security_start,66.7,59.2
2023-01-04 00:54:37.680666,notifications_security_end,100.0,59.2
2023-01-04 00:54:37.684569,notifications_end,0.0,59.2
2023-01-04 00:54:37.750070,notifications_start,70.4,59.2
2023-01-04 00:54:37.754631,notifications_security_start,100.0,59.2
2023-01-04 00:54:37.761224,notifications_security_end,66.7,59.2
2023-01-04 00:54:37.766283,notifications_end,50.0,59.2
2023-01-04 00:54:37.830102,notifications_start,73.9,59.2
2023-01-04 00:54:37.836213,notifications_security_start,50.0,59.2
2023-01-04 00:54:37.842795,notifications_security_end,33.3,59.2
2023-01-04 00:54:37.847229,notifications_end,100.0,59.2
2023-01-04 00:54:37.905264,notifications_start,58.3,59.2
2023-01-04 00:54:37.912492,notifications_security_start,0.0,59.2
2023-01-04 00:54:37.920117,notifications_security_end,100.0,59.3
2023-01-04 00:54:37.923475,notifications_end,100.0,59.3
2023-01-04 00:54:37.987918,notifications_start,62.5,59.3
2023-01-04 00:54:37.992700,notifications_security_start,66.7,59.3
2023-01-04 00:54:38.000694,notifications_security_end,100.0,59.3
2023-01-04 00:54:38.005254,notifications_end,100.0,59.3
2023-01-04 00:54:38.063746,notifications_start,66.7,59.3
2023-01-04 00:54:38.068339,notifications_security_start,100.0,59.3
2023-01-04 00:54:38.074981,notifications_security_end,75.0,59.3
2023-01-04 00:54:38.079611,notifications_end,100.0,59.3
2023-01-04 00:54:38.138328,notifications_start,66.7,59.3
2023-01-04 00:54:38.144226,notifications_security_start,100.0,59.3
2023-01-04 00:54:38.151336,notifications_security_end,0.0,59.3
2023-01-04 00:54:38.155447,notifications_end,50.0,59.3
2023-01-04 00:54:38.220053,notifications_start,64.0,59.3
2023-01-04 00:54:38.224221,notifications_security_start,100.0,59.3
2023-01-04 00:54:38.232582,notifications_security_end,66.7,59.3
2023-01-04 00:54:38.236134,notifications_end,100.0,59.3
2023-01-04 00:54:38.290978,notifications_start,57.1,59.3
2023-01-04 00:54:38.295598,notifications_security_start,50.0,59.3
2023-01-04 00:54:38.305713,notifications_security_end,100.0,59.3
2023-01-04 00:54:38.309062,notifications_end,0.0,59.3
2023-01-04 00:54:38.369695,notifications_start,59.1,59.3
2023-01-04 00:54:38.375446,notifications_security_start,100.0,59.3
2023-01-04 00:54:38.382501,notifications_security_end,60.0,59.3
2023-01-04 00:54:38.385265,notifications_end,0.0,59.3
2023-01-04 00:54:38.440209,notifications_start,55.0,59.2
2023-01-04 00:54:38.445413,notifications_security_start,50.0,59.3
2023-01-04 00:54:38.455786,notifications_security_end,75.0,59.3
2023-01-04 00:54:38.460367,notifications_end,100.0,59.3
2023-01-04 00:54:38.525120,notifications_start,70.8,59.3
2023-01-04 00:54:38.529353,notifications_security_start,100.0,59.3
2023-01-04 00:54:38.538217,notifications_security_end,50.0,59.4
2023-01-04 00:54:38.542292,notifications_end,0.0,59.3
2023-01-04 00:54:38.621035,notifications_start,65.6,59.3
2023-01-04 00:54:38.625545,notifications_security_start,66.7,59.3
2023-01-04 00:54:38.632546,notifications_security_end,0.0,59.3
2023-01-04 00:54:38.635777,notifications_end,50.0,59.3
2023-01-04 00:54:38.697165,notifications_start,62.5,59.3
2023-01-04 00:54:38.702677,notifications_security_start,100.0,59.3
2023-01-04 00:54:38.709772,notifications_security_end,100.0,59.4
2023-01-04 00:54:38.713340,notifications_end,50.0,59.4
2023-01-04 00:54:38.773216,notifications_start,72.7,59.3
2023-01-04 00:54:38.780794,notifications_security_start,66.7,59.3
2023-01-04 00:54:38.791739,notifications_security_end,75.0,59.4
2023-01-04 00:54:38.795747,notifications_end,0.0,59.4
2023-01-04 00:54:38.855448,notifications_start,82.6,59.3
2023-01-04 00:54:38.859964,notifications_security_start,50.0,59.3
2023-01-04 00:54:38.868564,notifications_security_end,75.0,59.3
2023-01-04 00:54:38.873023,notifications_end,50.0,59.3
2023-01-04 00:54:38.931284,notifications_start,59.1,59.3
2023-01-04 00:54:38.938960,notifications_security_start,100.0,59.3
2023-01-04 00:54:38.946555,notifications_security_end,66.7,59.3
2023-01-04 00:54:38.950372,notifications_end,0.0,59.3
2023-01-04 00:54:39.010181,notifications_start,73.9,59.3
2023-01-04 00:54:39.015280,notifications_security_start,50.0,59.4
2023-01-04 00:54:39.023848,notifications_security_end,66.7,59.3
2023-01-04 00:54:39.028925,notifications_end,100.0,59.3
2023-01-04 00:54:39.090252,notifications_start,60.9,59.3
2023-01-04 00:54:39.094827,notifications_security_start,100.0,59.3
2023-01-04 00:54:39.101862,notifications_security_end,66.7,59.4
2023-01-04 00:54:39.106064,notifications_end,100.0,59.4
2023-01-04 00:54:39.160958,notifications_start,63.6,59.3
2023-01-04 00:54:39.165605,notifications_security_start,100.0,59.4
2023-01-04 00:54:39.176485,notifications_security_end,100.0,59.4
2023-01-04 00:54:39.182397,notifications_end,100.0,59.4
2023-01-04 00:54:39.245995,notifications_start,73.1,59.4
2023-01-04 00:54:39.252379,notifications_security_start,50.0,59.4
2023-01-04 00:54:39.259630,notifications_security_end,100.0,59.4
2023-01-04 00:54:39.263295,notifications_end,100.0,59.2
2023-01-04 00:54:39.328274,notifications_start,75.0,59.1
2023-01-04 00:54:39.332801,notifications_security_start,100.0,59.1
2023-01-04 00:54:39.343302,notifications_security_end,0.0,59.1
2023-01-04 00:54:39.346687,notifications_end,100.0,59.1
2023-01-04 00:54:39.404825,notifications_start,70.0,59.1
2023-01-04 00:54:39.408831,notifications_security_start,100.0,59.1
2023-01-04 00:54:39.416005,notifications_security_end,50.0,59.1
2023-01-04 00:54:39.420398,notifications_end,100.0,59.1
2023-01-04 00:54:39.477900,notifications_start,65.4,59.1
2023-01-04 00:54:39.485796,notifications_security_start,100.0,59.1
2023-01-04 00:54:39.493109,notifications_security_end,100.0,59.1
2023-01-04 00:54:39.497865,notifications_end,0.0,59.1
2023-01-04 00:54:39.559866,notifications_start,65.0,59.1
2023-01-04 00:54:39.564374,notifications_security_start,50.0,59.1
2023-01-04 00:54:39.576878,notifications_security_end,80.0,59.1
2023-01-04 00:54:39.581609,notifications_end,0.0,59.1
2023-01-04 00:54:39.645393,notifications_start,69.2,59.1
2023-01-04 00:54:39.652995,notifications_security_start,100.0,59.1
2023-01-04 00:54:39.660746,notifications_security_end,66.7,59.1
2023-01-04 00:54:39.665002,notifications_end,0.0,59.1
2023-01-04 00:54:39.735382,notifications_start,74.1,59.1
2023-01-04 00:54:39.740089,notifications_security_start,50.0,59.1
2023-01-04 00:54:39.747360,notifications_security_end,0.0,59.1
2023-01-04 00:54:39.751100,notifications_end,50.0,59.1
2023-01-04 00:54:39.813691,notifications_start,74.1,59.1
2023-01-04 00:54:39.818201,notifications_security_start,0.0,59.1
2023-01-04 00:54:39.825498,notifications_security_end,50.0,59.1
2023-01-04 00:54:39.830149,notifications_end,0.0,59.1
2023-01-04 00:54:39.894952,notifications_start,69.6,59.1
2023-01-04 00:54:39.899547,notifications_security_start,50.0,59.2
2023-01-04 00:54:39.907275,notifications_security_end,66.7,59.1
2023-01-04 00:54:39.913939,notifications_end,50.0,59.1
2023-01-04 00:54:39.976918,notifications_start,72.0,59.1
2023-01-04 00:54:39.982391,notifications_security_start,50.0,59.2
2023-01-04 00:54:39.992972,notifications_security_end,50.0,59.2
2023-01-04 00:54:39.997123,notifications_end,100.0,59.2
2023-01-04 00:54:40.064461,notifications_start,60.9,59.1
2023-01-04 00:54:40.072481,notifications_security_start,75.0,59.2
2023-01-04 00:54:40.081293,notifications_security_end,66.7,59.2
2023-01-04 00:54:40.087406,notifications_end,0.0,59.2
2023-01-04 00:54:40.151397,notifications_start,66.7,59.2
2023-01-04 00:54:40.156745,notifications_security_start,100.0,59.2
2023-01-04 00:54:40.165960,notifications_security_end,66.7,59.2
2023-01-04 00:54:40.173364,notifications_end,66.7,59.2
2023-01-04 00:54:40.245696,notifications_start,73.1,59.2
2023-01-04 00:54:40.250432,notifications_security_start,100.0,59.2
2023-01-04 00:54:40.258302,notifications_security_end,66.7,59.2
2023-01-04 00:54:40.262522,notifications_end,50.0,59.2
2023-01-04 00:54:40.333133,notifications_start,73.1,59.2
2023-01-04 00:54:40.340705,notifications_security_start,50.0,59.1
2023-01-04 00:54:40.350402,notifications_security_end,50.0,59.2
2023-01-04 00:54:40.355946,notifications_end,50.0,59.2
2023-01-04 00:54:40.436386,notifications_start,71.0,59.2
2023-01-04 00:54:40.441550,notifications_security_start,75.0,59.2
2023-01-04 00:54:40.451298,notifications_security_end,50.0,59.2
2023-01-04 00:54:40.455927,notifications_end,100.0,59.2
2023-01-04 00:54:40.521825,notifications_start,73.1,59.2
2023-01-04 00:54:40.526329,notifications_security_start,50.0,59.2
2023-01-04 00:54:40.534392,notifications_security_end,100.0,59.2
2023-01-04 00:54:40.539185,notifications_end,0.0,59.2
2023-01-04 00:54:40.621707,notifications_start,70.6,59.1
2023-01-04 00:54:40.625824,notifications_security_start,50.0,59.2
2023-01-04 00:54:40.632861,notifications_security_end,60.0,59.2
2023-01-04 00:54:40.636286,notifications_end,0.0,59.2
2023-01-04 00:54:40.699913,notifications_start,68.0,59.1
2023-01-04 00:54:40.704225,notifications_security_start,0.0,59.1
2023-01-04 00:54:40.710886,notifications_security_end,0.0,59.2
2023-01-04 00:54:40.714634,notifications_end,50.0,59.2
2023-01-04 00:54:40.781884,notifications_start,70.8,59.2
2023-01-04 00:54:40.787457,notifications_security_start,100.0,59.2
2023-01-04 00:54:40.797101,notifications_security_end,83.3,59.2
2023-01-04 00:54:40.803249,notifications_end,100.0,59.2
2023-01-04 00:54:40.874363,notifications_start,96.6,59.2
2023-01-04 00:54:40.879150,notifications_security_start,0.0,59.2
2023-01-04 00:54:40.887304,notifications_security_end,66.7,59.2
2023-01-04 00:54:40.892176,notifications_end,100.0,59.2
2023-01-04 00:54:40.957510,notifications_start,81.5,59.1
2023-01-04 00:54:40.961767,notifications_security_start,100.0,59.1
2023-01-04 00:54:40.971263,notifications_security_end,33.3,59.0
2023-01-04 00:54:40.974184,notifications_end,100.0,59.0
2023-01-04 00:54:41.039781,notifications_start,72.0,59.0
2023-01-04 00:54:41.045341,notifications_security_start,100.0,59.0
2023-01-04 00:54:41.054321,notifications_security_end,100.0,59.0
2023-01-04 00:54:41.059681,notifications_end,0.0,59.0
2023-01-04 00:54:41.116771,notifications_start,61.9,59.0
2023-01-04 00:54:41.124440,notifications_security_start,100.0,59.0
2023-01-04 00:54:41.132095,notifications_security_end,66.7,59.0
2023-01-04 00:54:41.135542,notifications_end,100.0,59.0
2023-01-04 00:54:41.197635,notifications_start,80.0,59.0
2023-01-04 00:54:41.203480,notifications_security_start,50.0,59.0
2023-01-04 00:54:41.210451,notifications_security_end,100.0,59.0
2023-01-04 00:54:41.215023,notifications_end,100.0,59.0
2023-01-04 00:54:41.280307,notifications_start,76.0,59.0
2023-01-04 00:54:41.285370,notifications_security_start,66.7,59.0
2023-01-04 00:54:41.295752,notifications_security_end,75.0,59.0
2023-01-04 00:54:41.299880,notifications_end,100.0,59.0
2023-01-04 00:54:41.362084,notifications_start,70.8,59.0
2023-01-04 00:54:41.367013,notifications_security_start,100.0,59.0
2023-01-04 00:54:41.379760,notifications_security_end,75.0,59.1
2023-01-04 00:54:41.383739,notifications_end,50.0,59.1
2023-01-04 00:54:41.441643,notifications_start,75.0,59.0
