Time,Operation,CPU,RAM
2023-01-03 00:27:54.322513,book_start,47.5,60.3
2023-01-03 00:27:54.329696,book_security_start,50.0,60.3
2023-01-03 00:27:54.336573,book_security_end,100.0,60.3
2023-01-03 00:27:54.336942,movie_seats_venue_times_start,0.0,60.3
2023-01-03 00:27:54.368432,movie_seats_venue_times_end,76.9,60.3
2023-01-03 00:27:54.375693,book_end,66.7,60.3
2023-01-03 00:27:54.387679,book_start,33.3,60.3
2023-01-03 00:27:54.392078,book_security_start,100.0,60.3
2023-01-03 00:27:54.398765,book_security_end,100.0,60.3
2023-01-03 00:27:54.399398,movie_seats_venue_times_start,0.0,60.3
2023-01-03 00:27:54.428114,movie_seats_venue_times_end,55.6,60.3
2023-01-03 00:27:54.433190,book_end,50.0,60.3
2023-01-03 00:27:54.440036,book_start,100.0,60.3
2023-01-03 00:27:54.444620,book_security_start,66.7,60.3
2023-01-03 00:27:54.455389,book_security_end,75.0,60.4
2023-01-03 00:27:54.455791,movie_seats_venue_times_start,0.0,60.4
2023-01-03 00:27:54.482116,movie_seats_venue_times_end,70.0,60.3
2023-01-03 00:27:54.486859,book_end,0.0,60.3
2023-01-03 00:27:54.492869,book_start,50.0,60.3
2023-01-03 00:27:54.497042,book_security_start,0.0,60.3
2023-01-03 00:27:54.504340,book_security_end,75.0,60.4
2023-01-03 00:27:54.504903,movie_seats_venue_times_start,0.0,60.4
2023-01-03 00:27:54.529275,movie_seats_venue_times_end,55.6,60.3
2023-01-03 00:27:54.534907,book_end,100.0,60.4
2023-01-03 00:27:54.541354,book_start,50.0,60.3
2023-01-03 00:27:54.545598,book_security_start,100.0,60.3
2023-01-03 00:27:54.552954,book_security_end,66.7,60.4
2023-01-03 00:27:54.553359,movie_seats_venue_times_start,0.0,60.4
2023-01-03 00:27:54.587702,movie_seats_venue_times_end,73.3,60.4
2023-01-03 00:27:54.594978,book_end,0.0,60.4
2023-01-03 00:27:54.601125,book_start,50.0,60.3
2023-01-03 00:27:54.605430,book_security_start,50.0,60.3
2023-01-03 00:27:54.612467,book_security_end,0.0,60.3
2023-01-03 00:27:54.612945,movie_seats_venue_times_start,0.0,60.3
2023-01-03 00:27:54.650738,movie_seats_venue_times_end,62.5,60.3
2023-01-03 00:27:54.655795,book_end,0.0,60.4
2023-01-03 00:27:54.661590,book_start,50.0,60.3
2023-01-03 00:27:54.665729,book_security_start,0.0,60.4
2023-01-03 00:27:54.673734,book_security_end,50.0,60.4
2023-01-03 00:27:54.674185,movie_seats_venue_times_start,100.0,60.4
2023-01-03 00:27:54.701817,movie_seats_venue_times_end,60.0,60.4
2023-01-03 00:27:54.707614,book_end,66.7,60.4
2023-01-03 00:27:54.712902,book_start,66.7,60.3
2023-01-03 00:27:54.716664,book_security_start,0.0,60.3
2023-01-03 00:27:54.724847,book_security_end,50.0,60.4
2023-01-03 00:27:54.725223,movie_seats_venue_times_start,0.0,60.4
2023-01-03 00:27:54.749982,movie_seats_venue_times_end,72.7,60.4
2023-01-03 00:27:54.757983,book_end,50.0,60.4
2023-01-03 00:27:54.763868,book_start,50.0,60.4
2023-01-03 00:27:54.768108,book_security_start,0.0,60.4
2023-01-03 00:27:54.774896,book_security_end,75.0,60.4
2023-01-03 00:27:54.775318,movie_seats_venue_times_start,0.0,60.4
2023-01-03 00:27:54.803643,movie_seats_venue_times_end,54.5,60.3
2023-01-03 00:27:54.810201,book_end,50.0,60.3
2023-01-03 00:27:54.821876,book_start,33.3,60.3
2023-01-03 00:27:54.829779,book_security_start,100.0,60.3
2023-01-03 00:27:54.838108,book_security_end,66.7,60.4
2023-01-03 00:27:54.838620,movie_seats_venue_times_start,100.0,60.4
2023-01-03 00:27:54.866151,movie_seats_venue_times_end,37.5,60.4
2023-01-03 00:27:54.870826,book_end,50.0,60.4
2023-01-03 00:27:54.877423,book_start,50.0,60.4
2023-01-03 00:27:54.881696,book_security_start,0.0,60.4
